onset	duration	trial_type
11.0	3.021	shape
14.021	3.022	shape
17.043	3.021	shape
20.064	3.021	shape
23.085	3.021	shape
26.106	3.055	shape
32.132	3.022	face
35.154	3.021	face
38.175	3.021	face
41.196	3.021	face
44.217	3.022	face
47.239	3.054	face
53.265	3.021	shape
56.286	3.021	shape
59.307	3.021	shape
62.328	3.022	shape
65.35	3.021	shape
68.371	3.071	shape
74.397	3.021	face
77.418	3.021	face
80.439	3.022	face
83.461	3.021	face
86.482	3.021	face
89.503	3.055	face
95.529	3.021	shape
98.55	3.022	shape
101.572	3.021	shape
104.593	3.021	shape
107.614	3.022	shape
110.636	3.071	shape
116.661	3.022	face
119.683	3.021	face
122.704	3.021	face
125.725	3.022	face
128.747	3.021	face
131.768	3.055	face
137.794	3.021	shape
140.815	3.021	shape
143.836	3.022	shape
146.858	3.021	shape
149.879	3.021	shape
152.9	3.055	shape
158.926	3.021	face
161.947	3.022	face
164.969	3.021	face
167.99	3.021	face
171.011	3.021	face
174.032	3.055	face
180.058	3.022	shape
183.08	3.021	shape
186.101	3.021	shape
189.122	3.021	shape
192.143	3.022	shape
195.165	3.054	shape
201.191	3.021	face
204.212	3.021	face
207.233	3.021	face
210.254	3.022	face
213.276	3.021	face
216.297	3.071	face
222.323	3.021	shape
225.344	3.021	shape
228.365	3.022	shape
231.387	3.021	shape
234.408	3.021	shape
237.429	3.055	shape
243.455	3.021	face
246.476	3.022	face
249.498	3.021	face
252.519	3.021	face
255.54	3.022	face
258.562	3.021	face
