onset	duration	trial_type	score
7.149	4.575	painting	1
15.747	6.156	painting	48
25.329	3.533	painting	1
31.345	6.079	painting	49
38.844	4.918	painting	1
44.643	4.282	painting	45
49.459	3.537	painting	1
54.459	3.006	painting	1
58.192	3.318	painting	1
63.924	5.976	painting	48
72.123	3.156	painting	1
75.872	5.392	painting	1
85.154	4.153	painting	1
91.454	1.838	painting	1
95.303	5.273	painting	54
104.118	5.721	painting	61
111.101	7.995	painting	25
121.449	1.953	painting	1
127.882	1.419	painting	52
130.431	4.784	painting	1
139.38	5.612	painting	73
146.063	3.27	painting	1
151.945	6.959	painting	48
162.527	5.099	painting	1
169.709	6.968	painting	70
178.958	6.71	painting	26
186.474	3.3	painting	1
191.106	3.824	painting	1
198.622	2.342	painting	1
202.705	2.473	painting	1
207.121	2.186	painting	1
213.053	4.708	painting	74
219.636	3.436	painting	1
226.885	3.954	painting	1
234.317	4.772	painting	75
241.833	2.968	painting	1
248.148	2.986	painting	1
253.814	3.175	painting	1
260.197	5.479	painting	51
269.645	3.078	painting	1
274.545	2.777	painting	1
280.344	4.716	painting	59
289.159	2.011	painting	1
294.459	4.66	painting	76
300.124	2.835	painting	1
304.624	2.544	painting	1
308.373	2.465	painting	1
313.656	2.181	painting	1
320.255	2.502	painting	1
325.838	6.85	painting	52
334.236	2.703	painting	1
339.486	2.473	painting	1
343.552	3.661	painting	1
350.101	2.966	painting	1
357.283	1.194	painting	62
362.782	3.107	painting	1
370.248	6.578	painting	41
377.764	3.429	painting	1
384.146	1.585	painting	1
388.879	2.056	painting	1
