onset	duration	trial_type
5.505	4.047	pseudoword_list
11.129	0.503	probe
15.506	4.045	pseudoword_list
21.527	0.506	probe
26.11	4.041	complex_sentence_objclef
31.842	0.505	probe
36.109	4.05	complex_sentence_subjrel
41.946	0.504	probe
46.111	4.045	consonant_strings
51.934	0.507	probe
56.185	4.054	simple_sentence_cvp
61.817	0.505	probe
66.187	4.05	simple_sentence_coord
71.831	0.506	probe
76.186	4.05	word_list
82.028	0.506	probe
86.188	4.052	jabberwocky
92.2	0.504	probe
96.19	4.053	consonant_strings
102.084	0.506	probe
106.19	4.05	pseudoword_list
111.751	0.503	probe
116.19	4.05	pseudoword_list
121.806	0.505	probe
126.192	4.048	jabberwocky
132.229	0.504	probe
136.194	4.053	word_list
142.119	0.504	probe
146.194	4.042	word_list
152.217	0.504	probe
157.229	4.051	consonant_strings
163.242	0.507	probe
167.23	4.059	jabberwocky
173.086	0.506	probe
177.233	4.044	complex_sentence_subjrel
183.033	0.504	probe
187.234	4.053	jabberwocky
192.908	0.503	probe
197.233	4.045	consonant_strings
202.949	0.505	probe
207.235	4.044	word_list
213.111	0.506	probe
217.236	4.052	consonant_strings
223.218	0.505	probe
227.237	4.054	simple_sentence_adj
233.208	0.506	probe
237.238	4.047	simple_sentence_cvp
243.019	0.503	probe
247.24	4.053	simple_sentence_cvp
252.993	0.506	probe
257.241	4.056	simple_sentence_cvp
263.121	0.506	probe
267.243	4.05	complex_sentence_subjrel
273.22	0.506	probe
277.245	4.045	word_list
283.096	0.504	probe
287.245	4.046	complex_sentence_objrel
293.112	0.505	probe
297.247	4.048	jabberwocky
303.163	0.505	probe
307.399	4.055	jabberwocky
313.067	0.506	probe
317.399	4.051	complex_sentence_objclef
323.224	0.506	probe
327.703	4.053	consonant_strings
333.351	0.506	probe
337.702	4.052	consonant_strings
343.759	0.505	probe
347.705	4.053	jabberwocky
353.374	0.502	probe
357.765	4.046	word_list
363.587	0.504	probe
367.768	4.056	jabberwocky
373.711	0.505	probe
377.769	4.045	pseudoword_list
383.764	0.504	probe
387.769	4.042	complex_sentence_subjrel
393.582	0.505	probe
397.772	4.05	pseudoword_list
403.636	0.506	probe
407.772	4.049	simple_sentence_adj
413.346	0.505	probe
417.774	4.053	word_list
423.529	0.506	probe
427.774	4.053	consonant_strings
433.455	0.506	probe
437.974	4.044	word_list
443.864	0.505	probe
447.975	4.046	pseudoword_list
453.982	0.506	probe
457.976	4.055	consonant_strings
463.865	0.506	probe
467.976	4.042	pseudoword_list
473.647	0.507	probe
477.977	4.056	complex_sentence_objclef
483.884	0.506	probe
487.978	4.054	simple_sentence_cvp
493.675	0.506	probe
497.978	4.056	word_list
503.84	0.507	probe
507.98	4.05	simple_sentence_adj
513.738	0.506	probe
517.981	4.055	pseudoword_list
523.904	0.504	probe
528.223	4.055	complex_sentence_objrel
534.005	0.505	probe
538.223	4.043	word_list
543.802	0.505	probe
548.816	4.051	consonant_strings
554.599	0.503	probe
558.817	4.047	complex_sentence_objrel
564.65	0.502	probe
568.818	4.044	simple_sentence_cvp
574.787	0.504	probe
578.82	4.054	jabberwocky
584.787	0.503	probe
588.822	4.054	pseudoword_list
594.493	0.507	probe
598.823	4.053	jabberwocky
604.823	0.506	probe
