onset	duration	trial_type
10.149	8.229	control
18.378	8.246	control
26.624	8.212	control
34.836	8.23	control
43.066	8.129	control
53.181	10.233	relational
63.414	10.215	relational
73.629	10.233	relational
83.862	10.099	relational
111.988	10.216	relational
122.204	10.199	relational
132.403	10.215	relational
142.618	10.099	relational
154.77	8.213	control
162.983	8.229	control
171.212	8.246	control
179.458	8.229	control
187.687	8.096	control
213.827	8.246	control
222.073	8.23	control
230.303	8.229	control
238.532	8.246	control
246.778	8.129	control
256.927	10.232	relational
267.159	10.199	relational
277.358	10.182	relational
287.54	10.116	relational
315.667	10.249	relational
325.916	10.249	relational
336.165	10.266	relational
346.431	10.132	relational
358.599	8.23	control
366.829	8.212	control
375.041	8.229	control
383.27	8.246	control
391.516	8.113	control
417.673	8.246	control
425.919	8.213	control
434.132	8.196	control
442.328	8.279	control
450.607	8.129	control
460.856	10.199	relational
471.055	10.299	relational
481.354	10.266	relational
491.62	10.115	relational
519.78	10.232	relational
530.012	10.249	relational
540.261	10.232	relational
550.493	10.099	relational
562.645	8.23	control
570.875	8.212	control
579.087	8.196	control
587.283	8.246	control
595.529	8.113	control
