onset	duration	trial_type
0.55	0.15	memorization_num_4
0.7	1.717	response_num_4
10.753	0.15	memorization_num_8
10.903	1.717	response_num_8
20.956	0.15	memorization_num_5
21.106	1.701	response_num_5
31.176	0.15	memorization_num_4
31.326	1.717	response_num_4
41.379	0.15	memorization_num_3
41.529	1.717	response_num_3
51.582	0.15	memorization_num_8
51.732	1.701	response_num_8
61.802	0.15	memorization_num_6
61.952	1.701	response_num_6
72.022	0.15	memorization_num_7
72.172	1.701	response_num_7
82.242	0.15	memorization_num_1
82.392	1.717	response_num_1
92.445	0.15	memorization_num_7
92.595	1.7	response_num_7
102.665	0.15	memorization_num_3
102.815	1.7	response_num_3
112.868	0.15	memorization_num_1
113.018	1.717	response_num_1
123.071	0.15	memorization_num_8
123.221	1.7	response_num_8
133.291	0.15	memorization_num_7
133.441	1.7	response_num_7
143.493	0.167	memorization_num_8
143.66	1.717	response_num_8
153.713	0.15	memorization_num_3
153.863	1.717	response_num_3
163.917	0.149	memorization_num_8
164.066	1.701	response_num_8
174.12	0.149	memorization_num_2
174.269	1.717	response_num_2
184.323	0.15	memorization_num_7
184.473	1.7	response_num_7
194.509	0.15	memorization_num_3
194.659	1.717	response_num_3
204.712	0.15	memorization_num_8
204.862	1.701	response_num_8
214.932	0.15	memorization_num_2
215.082	1.717	response_num_2
225.135	0.15	memorization_num_4
225.285	1.717	response_num_4
235.338	0.15	memorization_num_8
235.488	1.701	response_num_8
245.575	0.15	memorization_num_6
245.725	1.716	response_num_6
255.777	0.151	memorization_num_4
255.928	1.716	response_num_4
265.981	0.15	memorization_num_6
266.131	1.7	response_num_6
276.2	0.151	memorization_num_1
276.351	1.716	response_num_1
286.404	0.15	memorization_num_8
286.554	1.7	response_num_8
296.623	0.151	memorization_num_3
296.774	1.716	response_num_3
306.827	0.149	memorization_num_6
306.976	1.717	response_num_6
317.029	0.151	memorization_num_5
317.18	1.716	response_num_5
327.233	0.15	memorization_num_3
327.383	1.716	response_num_3
337.436	0.15	memorization_num_5
337.586	1.7	response_num_5
347.639	0.15	memorization_num_8
347.789	1.7	response_num_8
357.842	0.15	memorization_num_7
357.992	1.717	response_num_7
368.045	0.15	memorization_num_2
368.195	1.717	response_num_2
378.248	0.15	memorization_num_2
378.398	1.717	response_num_2
388.451	0.15	memorization_num_2
388.601	1.717	response_num_2
398.654	0.15	memorization_num_2
398.804	1.717	response_num_2
408.857	0.15	memorization_num_4
409.007	1.717	response_num_4
419.061	0.15	memorization_num_5
419.211	1.716	response_num_5
429.264	0.15	memorization_num_6
429.414	1.716	response_num_6
439.467	0.15	memorization_num_4
439.617	1.7	response_num_4
449.67	0.15	memorization_num_8
449.82	1.7	response_num_8
459.89	0.149	memorization_num_5
460.039	1.717	response_num_5
470.093	0.15	memorization_num_5
470.243	1.717	response_num_5
480.296	0.15	memorization_num_2
480.446	1.717	response_num_2
490.499	0.15	memorization_num_6
490.649	1.7	response_num_6
500.719	0.15	memorization_num_6
500.869	1.7	response_num_6
510.938	0.15	memorization_num_3
511.088	1.717	response_num_3
521.141	0.151	memorization_num_5
521.292	1.716	response_num_5
531.344	0.151	memorization_num_8
531.495	1.7	response_num_8
541.564	0.15	memorization_num_1
541.714	1.717	response_num_1
551.767	0.151	memorization_num_7
551.918	1.7	response_num_7
561.97	0.15	memorization_num_2
562.12	1.717	response_num_2
572.174	0.15	memorization_num_3
572.324	1.716	response_num_3
582.377	0.15	memorization_num_5
582.527	1.7	response_num_5
592.596	0.151	memorization_num_4
592.747	1.716	response_num_4
602.799	0.151	memorization_num_5
602.95	1.7	response_num_5
613.019	0.15	memorization_num_2
613.169	1.717	response_num_2
623.222	0.15	memorization_num_7
623.372	1.717	response_num_7
633.425	0.151	memorization_num_1
633.576	1.716	response_num_1
643.629	0.15	memorization_num_5
643.779	1.7	response_num_5
653.848	0.151	memorization_num_3
653.999	1.716	response_num_3
664.052	0.15	memorization_num_7
664.202	1.716	response_num_7
674.255	0.15	memorization_num_4
674.405	1.716	response_num_4
684.458	0.15	memorization_num_1
684.608	1.716	response_num_1
694.661	0.15	memorization_num_6
