onset	duration	trial_type
5.08	2	talk
7.52	2	talk
9.84	2	talk
12.28	2	no_talk
14.64	2	no_talk
16.96	2	no_talk
19.32	2	no_talk
21.72	2	no_talk
24.08	2	no_talk
26.48	2	talk
28.8	2	talk
31.01	2	talk
33.76	2	talk
35.72	2	talk
38.08	2	talk
40.48	2	talk
42.8	2	talk
45.48	2	talk
47.6	2	no_talk
49.88	2	talk
52.32	2	talk
54.68	2	talk
57.04	2	talk
59.48	2	talk
61.8	2	talk
64.2	2	talk
66.69	2	talk
69.12	2	no_talk
71.44	2	no_talk
73.72	2	no_talk
76.2	2	no_talk
78.56	2	no_talk
80.92	2	no_talk
83.28	2	no_talk
85.64	2	no_talk
88.04	2	no_talk
90.32	2	no_talk
92.84	2	no_talk
95.12	2	no_talk
97.52	2	no_talk
99.88	2	no_talk
102.24	2	no_talk
104.6	2	no_talk
106.96	2	no_talk
109.32	2	no_talk
111.72	2	no_talk
114.08	2	no_talk
116.44	2	no_talk
118.84	2	no_talk
121.16	2	no_talk
123.56	2	no_talk
125.92	2	no_talk
128.32	2	no_talk
130.6	2	no_talk
133.04	2	no_talk
135.4	2	no_talk
137.8	2	no_talk
140.12	2	no_talk
142.48	2	no_talk
144.88	2	no_talk
147.2	2	no_talk
149.64	2	no_talk
153.24	2	no_talk
155.64	2	no_talk
158	2	no_talk
160.32	2	no_talk
162.72	2	no_talk
165.12	2	no_talk
167.52	2	no_talk
169.84	2	no_talk
172.24	2	no_talk
174.6	2	no_talk
176.96	2	no_talk
179.36	2	no_talk
181.68	2	no_talk
184.08	2	talk
186.44	2	talk
188.72	2	talk
191.16	2	talk
193.52	2	talk
195.92	2	talk
198.32	2	talk
200.64	2	talk
203	2	talk
205.4	2	talk
207.72	2	no_talk
210.12	2	talk
212.48	2	talk
214.88	2	talk
217.2	2	talk
219.6	2	no_talk
221.96	2	no_talk
224.36	2	talk
226.68	2	talk
229.04	2	talk
231.44	2	talk
233.6	2	talk
236.2	2	talk
238.52	2	talk
240.92	2	talk
243.28	2	talk
245.68	2	talk
248.24	2	no_talk
250.88	2	no_talk
253.24	2	no_talk
255.6	2	no_talk
257.96	2	no_talk
260.32	2	no_talk
262.68	2	no_talk
265.08	2	talk
267.4	2	talk
269.8	2	talk
272.16	2	no_talk
274.44	2	no_talk
277.16	2	no_talk
279.24	2	no_talk
281.64	2	no_talk
284	2	no_talk
286.36	2	no_talk
288.72	2	no_talk
291.12	2	no_talk
293.44	2	no_talk
295.84	2	no_talk
298.2	2	no_talk
300.6	2	no_talk
302.96	2	no_talk
305.32	2	no_talk
307.68	2	talk
310.08	2	talk
321.44	2	talk
314.76	2	talk
317.16	2	talk
319.64	2	talk
321.56	2	no_talk
323.92	2	talk
326.32	2	talk
328.68	2	no_talk
331.08	2	no_talk
333.4	2	no_talk
335.76	2	no_talk
338.12	2	no_talk
340.48	2	no_talk
342.88	2	no_talk
345.68	2	no_talk
347.64	2	no_talk
349.96	2	talk
352.36	2	no_talk
354.76	2	no_talk
357.12	2	no_talk
359.44	2	no_talk
361.84	2	talk
364.2	2	talk
366.6	2	talk
368.96	2	talk
371.28	2	talk
373.68	2	talk
376.4	2	talk
378.48	2	talk
380.88	2	talk
383.24	2	talk
385.64	2	talk
387.92	2	talk
390.36	2	talk
392.72	2	talk
395.12	2	talk
397.48	2	talk
399.84	2	talk
402.2	2	talk
404.6	2	no_talk
406.96	2	no_talk
408.28	2	no_talk
411.68	2	no_talk
414.04	2	no_talk
416.44	2	no_talk
418.76	2	no_talk
421.32	2	no_talk
423.72	2	no_talk
425.68	2	talk
428	2	talk
439.72	2	talk
442.12	2	talk
444.48	2	talk
446.84	2	talk
449.24	2	no_talk
451.6	2	no_talk
453.92	2	no_talk
456.32	2	talk
458.68	2	talk
461.08	2	talk
463.44	2	no_talk
465.76	2	no_talk
468.12	2	no_talk
470.16	2	no_talk
