onset	duration	trial_type
2.002	2.012	music_25
8.029	2.025	silence
14.069	2.006	speech_31
22.091	2.014	tools_16
28.121	2.015	speech_28
34.151	2.013	animal_24
42.18	2.016	tools_14
48.211	2.005	catch
54.233	2.012	voice_12
62.262	2.015	music_14
68.293	2.014	nature_48
74.322	2.013	speech_30
82.352	2.014	animal_38
88.379	2.013	tools_28
94.407	2.014	voice_22
102.438	2.015	speech_48
108.468	2.035	silence
114.518	2.014	animal_43
122.548	2.015	speech_44
128.578	2.007	music_18
134.601	2.012	tools_45
142.628	2.014	animal_42
148.658	2.015	nature_34
154.687	2.016	tools_18
162.719	2.009	voice_3
168.74	2.014	music_45
174.769	2.015	animal_6
182.802	2.015	nature_36
188.831	2.014	voice_35
194.859	2.015	music_41
202.889	2.014	voice_45
208.917	2.015	speech_20
214.945	2.014	nature_38
222.977	2.006	catch
228.998	2.016	music_5
235.028	2.007	speech_40
243.052	2.016	tools_35
249.084	2.015	nature_22
255.113	2.014	music_29
263.143	2.015	nature_17
269.173	2.015	tools_32
275.202	2.014	animal_40
283.234	2.008	tools_36
289.256	2.015	animal_4
295.286	2.015	nature_2
303.318	2.015	voice_44
309.349	2.014	music_44
315.378	2.005	catch
323.399	2.014	voice_2
329.427	2.014	speech_7
335.457	2.031	silence
343.506	2.015	animal_44
349.536	2.007	music_13
355.557	2.006	catch
363.579	2.015	tools_11
369.609	2.014	animal_3
375.637	2.015	silence
383.667	2.015	tools_27
389.697	2.006	catch
395.718	2.008	speech_23
403.741	2.016	nature_10
409.771	2.014	voice_1
415.801	2.008	speech_42
423.826	2.013	voice_4
429.855	2.009	nature_40
435.878	2.014	music_24
443.907	2.015	nature_5
449.936	2.015	tools_5
455.967	2.014	animal_32
463.997	2.008	speech_34
470.019	2.014	nature_28
476.048	2.015	voice_21
484.081	2.019	silence
490.114	2.014	music_11
496.142	2.015	voice_41
504.176	2.008	animal_35
510.198	2.015	nature_15
516.227	2.016	music_46
524.261	2.014	tools_42
530.289	2.017	voice_20
536.322	2.014	animal_19
544.353	2.008	speech_39
546.371	4.005	fixation
