onset	duration	trial_type
11.0	3.055	shape
14.055	3.054	shape
17.109	3.055	shape
20.164	3.055	shape
23.219	3.054	shape
26.273	3.155	shape
32.333	3.071	face
35.404	3.071	face
38.475	3.072	face
41.547	3.071	face
44.618	3.055	face
47.673	3.171	face
53.732	3.055	shape
56.787	3.054	shape
59.841	3.055	shape
62.896	3.055	shape
65.951	3.054	shape
69.005	3.155	shape
75.065	3.071	face
78.136	3.071	face
81.207	3.072	face
84.279	3.071	face
87.35	3.072	face
90.422	3.154	face
96.481	3.054	shape
99.535	3.055	shape
102.59	3.055	shape
105.645	3.054	shape
108.699	3.055	shape
111.754	3.155	shape
117.813	3.072	face
120.885	3.054	face
123.939	3.072	face
127.011	3.054	face
130.065	3.072	face
133.137	3.171	face
139.196	3.071	shape
142.267	3.055	shape
145.322	3.055	shape
148.377	3.054	shape
151.431	3.055	shape
154.486	3.171	shape
160.562	3.071	face
163.633	3.072	face
166.705	3.071	face
169.776	3.071	face
172.847	3.072	face
175.919	3.155	face
181.978	3.055	shape
185.033	3.054	shape
188.087	3.055	shape
191.142	3.055	shape
194.197	3.054	shape
197.251	3.172	shape
203.327	3.072	face
206.399	3.071	face
209.47	3.071	face
212.541	3.072	face
215.613	3.071	face
218.684	3.172	face
224.743	3.055	shape
227.798	3.055	shape
230.853	3.054	shape
233.907	3.055	shape
236.962	3.055	shape
240.017	3.171	shape
246.076	3.071	face
249.147	3.072	face
252.219	3.071	face
255.29	3.071	face
258.361	3.055	face
261.416	3.038	face
