onset	duration	trial_type
5.504	4.046	complex_sentence_objrel
11.192	0.503	probe
15.506	4.053	simple_sentence_adj
21.346	0.505	probe
25.506	4.049	complex_sentence_objrel
31.409	0.505	probe
35.508	4.051	consonant_strings
41.307	0.505	probe
45.509	4.052	jabberwocky
51.222	0.505	probe
55.508	4.052	consonant_strings
61.147	0.505	probe
65.51	4.049	word_list
71.123	0.505	probe
75.511	4.047	jabberwocky
81.529	0.506	probe
85.513	4.044	complex_sentence_subjrel
91.525	0.505	probe
95.515	4.046	word_list
101.205	0.505	probe
105.516	4.046	word_list
111.166	0.505	probe
115.517	4.045	simple_sentence_coord
121.088	0.504	probe
125.516	4.047	consonant_strings
131.266	0.506	probe
135.519	4.055	simple_sentence_cvp
141.179	0.505	probe
145.519	4.044	jabberwocky
151.345	0.506	probe
155.52	4.041	complex_sentence_objrel
161.558	0.506	probe
165.521	4.043	pseudoword_list
171.168	0.505	probe
175.522	4.053	pseudoword_list
181.115	0.503	probe
185.524	4.038	pseudoword_list
191.18	0.505	probe
195.525	4.047	jabberwocky
201.462	0.506	probe
205.525	4.047	jabberwocky
211.568	0.504	probe
215.525	4.05	simple_sentence_cvp
221.476	0.506	probe
225.525	4.048	pseudoword_list
231.15	0.503	probe
235.526	4.044	complex_sentence_objrel
241.257	0.503	probe
245.529	4.045	complex_sentence_objclef
251.182	0.504	probe
255.529	4.05	pseudoword_list
261.518	0.506	probe
265.53	4.052	consonant_strings
271.292	0.507	probe
275.532	4.05	simple_sentence_coord
281.554	0.506	probe
285.533	4.047	word_list
291.209	0.506	probe
295.535	4.047	word_list
301.209	0.504	probe
305.534	4.049	jabberwocky
311.43	0.505	probe
315.537	4.042	pseudoword_list
321.164	0.505	probe
325.536	4.05	consonant_strings
331.153	0.506	probe
335.538	4.042	simple_sentence_adj
341.224	0.505	probe
345.539	4.045	complex_sentence_subjrel
351.276	0.504	probe
355.539	4.044	jabberwocky
361.577	0.504	probe
365.54	4.044	simple_sentence_adj
371.145	0.503	probe
375.54	4.04	simple_sentence_adj
381.536	0.504	probe
385.543	4.043	consonant_strings
391.276	0.506	probe
395.544	4.047	consonant_strings
401.205	0.504	probe
405.545	4.043	simple_sentence_adj
411.49	0.505	probe
415.546	4.039	word_list
421.356	0.506	probe
425.546	4.046	pseudoword_list
431.12	0.504	probe
435.546	4.036	consonant_strings
441.308	0.505	probe
445.547	4.039	consonant_strings
451.332	0.506	probe
455.548	4.048	jabberwocky
461.366	0.503	probe
465.55	4.046	pseudoword_list
471.164	0.503	probe
475.551	4.044	jabberwocky
481.382	0.506	probe
485.55	4.043	complex_sentence_subjrel
491.566	0.503	probe
495.551	4.044	word_list
501.454	0.505	probe
505.553	4.041	word_list
511.552	0.504	probe
515.553	4.051	pseudoword_list
521.223	0.504	probe
525.556	4.051	simple_sentence_adj
531.464	0.505	probe
535.556	4.045	word_list
541.263	0.506	probe
545.556	4.04	pseudoword_list
551.525	0.504	probe
555.558	4.051	word_list
561.428	0.503	probe
565.558	4.046	complex_sentence_objrel
571.592	0.506	probe
575.561	4.05	jabberwocky
581.362	0.506	probe
585.561	4.053	consonant_strings
591.603	0.506	probe
595.562	4.049	complex_sentence_objclef
601.472	0.504	probe
