onset	duration	trial_type
8.079	0.918	left_hand_cue
8.997	1.235	left_hand
10.232	1.235	left_hand
11.467	1.236	left_hand
12.703	1.252	left_hand
13.955	1.251	left_hand
15.206	1.252	left_hand
16.458	1.236	left_hand
17.694	1.235	left_hand
18.929	1.235	left_hand
20.164	1.319	left_hand
21.483	0.935	right_foot_cue
22.418	1.235	right_foot
23.653	1.252	right_foot
24.905	1.251	right_foot
26.156	1.236	right_foot
27.392	1.252	right_foot
28.644	1.251	right_foot
29.895	1.236	right_foot
31.131	1.252	right_foot
32.383	1.235	right_foot
33.618	1.319	right_foot
49.926	0.952	tongue_cue
50.878	1.251	tongue
52.129	1.252	tongue
53.381	1.252	tongue
54.633	1.252	tongue
55.885	1.252	tongue
57.137	1.252	tongue
58.389	1.235	tongue
59.624	1.252	tongue
60.876	1.235	tongue
62.111	1.319	tongue
63.43	0.918	left_foot_cue
64.348	1.235	left_foot
65.583	1.236	left_foot
66.819	1.251	left_foot
68.07	1.236	left_foot
69.306	1.252	left_foot
70.558	1.252	left_foot
71.81	1.252	left_foot
73.062	1.235	left_foot
74.297	1.252	left_foot
75.549	1.302	left_foot
76.851	0.951	right_hand_cue
77.802	1.252	right_hand
79.054	1.252	right_hand
80.306	1.252	right_hand
81.558	1.235	right_hand
82.793	1.235	right_hand
84.028	1.252	right_hand
85.28	1.252	right_hand
86.532	1.235	right_hand
87.767	1.235	right_hand
89.002	1.286	right_hand
105.311	0.934	left_hand_cue
106.245	1.252	left_hand
107.497	1.236	left_hand
108.733	1.235	left_hand
109.968	1.235	left_hand
111.203	1.252	left_hand
112.455	1.252	left_hand
113.707	1.235	left_hand
114.942	1.235	left_hand
116.177	1.236	left_hand
117.413	1.318	left_hand
118.731	0.919	tongue_cue
119.65	1.235	tongue
120.885	1.251	tongue
122.136	1.252	tongue
123.388	1.236	tongue
124.624	1.235	tongue
125.859	1.235	tongue
127.094	1.235	tongue
128.329	1.252	tongue
129.581	1.235	tongue
130.816	1.319	tongue
132.135	0.918	right_foot_cue
133.053	1.235	right_foot
134.288	1.252	right_foot
135.54	1.236	right_foot
136.776	1.235	right_foot
138.011	1.252	right_foot
139.263	1.235	right_foot
140.498	1.235	right_foot
141.733	1.252	right_foot
142.985	1.252	right_foot
144.237	1.335	right_foot
145.572	0.902	right_hand_cue
146.474	1.235	right_hand
147.709	1.235	right_hand
148.944	1.252	right_hand
150.196	1.235	right_hand
151.431	1.235	right_hand
152.666	1.252	right_hand
153.918	1.236	right_hand
155.154	1.252	right_hand
156.406	1.251	right_hand
157.657	1.319	right_hand
158.976	0.918	left_foot_cue
159.894	1.235	left_foot
161.129	1.236	left_foot
162.365	1.252	left_foot
163.617	1.251	left_foot
164.868	1.236	left_foot
166.104	1.252	left_foot
167.356	1.251	left_foot
168.607	1.236	left_foot
169.843	1.252	left_foot
171.095	1.302	left_foot
187.403	0.935	right_hand_cue
188.338	1.252	right_hand
189.59	1.252	right_hand
190.842	1.235	right_hand
192.077	1.252	right_hand
193.329	1.251	right_hand
194.58	1.236	right_hand
195.816	1.252	right_hand
197.068	1.252	right_hand
198.32	1.252	right_hand
199.572	1.318	right_hand
200.89	0.935	left_foot_cue
201.825	1.235	left_foot
203.06	1.235	left_foot
204.295	1.236	left_foot
205.531	1.235	left_foot
206.766	1.235	left_foot
208.001	1.235	left_foot
209.236	1.236	left_foot
210.472	1.251	left_foot
211.723	1.236	left_foot
212.959	1.302	left_foot
214.261	0.951	tongue_cue
215.212	1.235	tongue
216.447	1.252	tongue
217.699	1.235	tongue
218.934	1.252	tongue
220.186	1.235	tongue
221.421	1.236	tongue
222.657	1.235	tongue
223.892	1.252	tongue
225.144	1.235	tongue
226.379	1.319	tongue
227.698	0.935	right_foot_cue
228.633	1.251	right_foot
229.884	1.236	right_foot
231.12	1.252	right_foot
232.372	1.235	right_foot
233.607	1.235	right_foot
234.842	1.252	right_foot
236.094	1.252	right_foot
237.346	1.235	right_foot
238.581	1.235	right_foot
239.816	1.336	right_foot
241.152	0.901	left_hand_cue
242.053	1.235	left_hand
243.288	1.235	left_hand
244.523	1.236	left_hand
245.759	1.252	left_hand
247.011	1.252	left_hand
248.263	1.235	left_hand
249.498	1.235	left_hand
250.733	1.235	left_hand
251.968	1.252	left_hand
253.22	1.302	left_hand
269.545	0.918	tongue_cue
270.463	1.252	tongue
271.715	1.235	tongue
272.95	1.235	tongue
274.185	1.252	tongue
275.437	1.252	tongue
276.689	1.252	tongue
277.941	1.235	tongue
279.176	1.236	tongue
280.412	1.235	tongue
281.647	1.319	tongue
282.966	0.918	left_foot_cue
283.884	1.235	left_foot
285.119	1.235	left_foot
286.354	1.252	left_foot
287.606	1.235	left_foot
288.841	1.252	left_foot
290.093	1.235	left_foot
291.328	1.236	left_foot
292.564	1.235	left_foot
293.799	1.235	left_foot
295.034	1.319	left_foot
296.353	0.934	right_hand_cue
297.287	1.236	right_hand
298.523	1.252	right_hand
299.775	1.235	right_hand
301.01	1.252	right_hand
302.262	1.235	right_hand
303.497	1.235	right_hand
304.732	1.235	right_hand
305.967	1.252	right_hand
