onset	duration	trial_type
8.212	3.839	reward
12.051	3.856	reward
15.907	3.856	punishment
19.763	3.839	reward
23.602	3.84	reward
27.442	3.856	reward
31.298	3.839	neutral
35.137	3.7	reward
53.982	3.873	reward
57.855	3.856	punishment
61.711	3.856	punishment
65.567	3.839	punishment
69.406	3.839	neutral
73.245	3.839	punishment
77.084	3.839	punishment
80.923	3.692	punishment
99.769	3.839	punishment
103.608	3.856	punishment
107.464	3.822	punishment
111.286	3.856	neutral
115.142	3.839	punishment
118.981	3.823	neutral
122.804	3.856	punishment
126.66	3.684	punishment
145.489	3.839	reward
149.328	3.856	reward
153.184	3.839	punishment
157.023	3.856	reward
160.879	3.839	punishment
164.718	3.856	reward
168.574	3.856	reward
172.43	3.692	reward
191.275	3.856	punishment
195.131	3.839	punishment
198.97	3.856	reward
202.826	3.84	punishment
206.666	3.839	reward
210.505	3.872	punishment
214.377	3.839	punishment
218.216	3.685	punishment
237.045	3.873	reward
240.918	3.889	neutral
244.807	3.873	reward
248.68	3.856	reward
252.536	3.839	reward
256.375	3.839	reward
260.214	3.839	neutral
264.053	3.693	reward
282.899	3.839	punishment
286.738	3.856	punishment
290.594	3.856	reward
294.45	3.856	punishment
298.306	3.839	reward
302.145	3.872	punishment
306.017	3.823	punishment
309.84	3.684	punishment
328.669	3.839	reward
332.508	3.839	reward
336.347	3.839	punishment
340.186	3.839	reward
344.025	3.856	punishment
347.881	3.84	reward
351.721	3.822	reward
355.543	3.693	reward
