onset	duration	trial_type
0.55	0.15	memorization_num_6
1.701	1.7	response_num_6
7.769	0.15	memorization_num_3
8.92	1.7	response_num_3
14.988	0.15	memorization_num_5
16.138	1.701	response_num_5
22.207	0.15	memorization_num_2
23.357	1.701	response_num_2
29.426	0.15	memorization_num_5
30.576	1.701	response_num_5
36.645	0.15	memorization_num_1
37.795	1.701	response_num_1
43.863	0.15	memorization_num_6
45.014	1.7	response_num_6
51.082	0.151	memorization_num_4
52.233	1.717	response_num_4
58.285	0.15	memorization_num_6
59.435	1.701	response_num_6
65.52	0.15	memorization_num_5
66.671	1.7	response_num_5
72.739	0.15	memorization_num_5
73.89	1.7	response_num_5
79.975	0.15	memorization_num_3
81.125	1.701	response_num_3
87.194	0.15	memorization_num_1
88.344	1.7	response_num_1
94.429	0.15	memorization_num_4
95.579	1.701	response_num_4
101.665	0.15	memorization_num_2
102.815	1.701	response_num_2
108.884	0.15	memorization_num_3
110.034	1.7	response_num_3
116.102	0.15	memorization_num_3
117.253	1.7	response_num_3
123.321	0.15	memorization_num_2
124.472	1.7	response_num_2
130.54	0.15	memorization_num_2
131.691	1.7	response_num_2
137.759	0.15	memorization_num_4
138.909	1.701	response_num_4
144.978	0.15	memorization_num_2
146.128	1.701	response_num_2
152.213	0.151	memorization_num_4
153.364	1.7	response_num_4
159.432	0.15	memorization_num_3
160.583	1.7	response_num_3
166.651	0.15	memorization_num_1
167.802	1.7	response_num_1
173.87	0.15	memorization_num_4
175.02	1.701	response_num_4
181.106	0.15	memorization_num_1
182.239	1.701	response_num_1
188.308	0.15	memorization_num_1
189.458	1.701	response_num_1
195.527	0.15	memorization_num_2
196.677	1.701	response_num_2
202.746	0.15	memorization_num_6
203.896	1.7	response_num_6
209.964	0.15	memorization_num_3
211.115	1.7	response_num_3
217.183	0.15	memorization_num_5
218.333	1.701	response_num_5
224.402	0.15	memorization_num_3
225.553	1.7	response_num_3
231.621	0.15	memorization_num_6
232.772	1.7	response_num_6
238.84	0.15	memorization_num_5
239.99	1.701	response_num_5
246.059	0.15	memorization_num_3
247.209	1.701	response_num_3
253.278	0.15	memorization_num_4
254.428	1.701	response_num_4
260.497	0.15	memorization_num_5
261.647	1.7	response_num_5
267.716	0.15	memorization_num_5
268.849	1.701	response_num_5
274.918	0.15	memorization_num_3
276.068	1.701	response_num_3
282.137	0.15	memorization_num_4
283.287	1.701	response_num_4
289.355	0.15	memorization_num_6
290.506	1.7	response_num_6
296.574	0.15	memorization_num_5
297.725	1.7	response_num_5
303.81	0.15	memorization_num_1
304.96	1.701	response_num_1
311.029	0.15	memorization_num_6
312.179	1.701	response_num_6
318.264	0.15	memorization_num_1
319.415	1.7	response_num_1
325.483	0.15	memorization_num_6
326.633	1.701	response_num_6
332.702	0.15	memorization_num_6
333.852	1.701	response_num_6
339.921	0.15	memorization_num_2
341.071	1.701	response_num_2
347.14	0.15	memorization_num_4
348.29	1.701	response_num_4
354.359	0.15	memorization_num_2
355.509	1.701	response_num_2
361.578	0.149	memorization_num_4
362.728	1.7	response_num_4
368.813	0.15	memorization_num_3
369.964	1.7	response_num_3
376.032	0.15	memorization_num_6
377.182	1.701	response_num_6
383.268	0.15	memorization_num_1
384.418	1.701	response_num_1
390.486	0.15	memorization_num_5
391.637	1.7	response_num_5
397.705	0.15	memorization_num_1
398.856	1.7	response_num_1
404.924	0.15	memorization_num_1
406.074	1.701	response_num_1
412.143	0.15	memorization_num_1
413.293	1.701	response_num_1
419.362	0.15	memorization_num_4
420.512	1.701	response_num_4
426.581	0.15	memorization_num_3
427.731	1.701	response_num_3
433.8	0.15	memorization_num_4
434.95	1.701	response_num_4
441.019	0.15	memorization_num_1
442.169	1.7	response_num_1
448.237	0.151	memorization_num_2
449.388	1.7	response_num_2
455.456	0.15	memorization_num_2
456.607	1.7	response_num_2
462.675	0.15	memorization_num_6
463.826	1.7	response_num_6
469.911	0.15	memorization_num_2
471.061	1.701	response_num_2
477.13	0.15	memorization_num_1
478.28	1.717	response_num_1
484.332	0.15	memorization_num_2
485.482	1.701	response_num_2
491.567	0.15	memorization_num_1
492.718	1.7	response_num_1
498.786	0.15	memorization_num_1
499.937	1.7	response_num_1
506.005	0.15	memorization_num_5
507.155	1.701	response_num_5
513.224	0.15	memorization_num_4
514.374	1.701	response_num_4
