onset	duration	trial_type
3.002	5.008	instructions
8.496	4.999	self_relevance_with_response
13.92	4.999	self_relevance_with_response
19.275	4.999	self_relevance_with_response
24.578	4.999	self_relevance_with_response
30.25	4.999	self_relevance_with_response
35.796	4.999	self_relevance_with_response
41.283	5.007	instructions
46.825	4.999	other_relevance_with_response
52.355	4.999	other_relevance_with_response
57.728	4.999	other_relevance_with_response
63.157	4.999	other_relevance_with_response
68.802	4.999	other_relevance_with_response
74.319	4.999	other_relevance_with_response
90.081	5.007	instructions
95.455	4.999	new_fa
101.082	4.999	old_other_hit
106.721	4.999	old_self_hit
112.184	4.999	new_fa
117.715	5.0	old_other_hit
123.11	5.0	new_fa
128.562	4.999	new_fa
134.229	4.999	old_other_hit
139.586	5.0	old_other_hit
144.89	5.0	new_fa
150.355	5.0	old_self_hit
155.69	5.0	old_self_hit
161.194	5.0	new_fa
166.532	5.0	new_fa
171.887	5.0	old_self_hit
177.541	5.0	new_fa
183.115	5.0	old_other_hit
188.552	5.0	old_self_hit
193.957	5.0	old_other_hit
199.319	5.0	new_fa
204.808	5.0	new_fa
210.439	5.0	old_self_hit
215.807	5.0	new_fa
221.477	5.0	new_fa
237.157	5.008	instructions
242.664	5.0	self_relevance_with_response
248.267	4.999	self_relevance_with_response
253.752	4.999	self_relevance_with_response
259.235	5.0	self_relevance_with_response
264.577	4.999	self_relevance_with_response
270.087	4.999	self_relevance_with_response
275.506	5.007	instructions
281.035	4.999	other_relevance_with_response
286.702	4.999	other_relevance_with_response
292.382	4.999	other_relevance_with_response
297.735	4.999	other_relevance_with_response
303.096	4.999	other_relevance_with_response
308.734	4.999	other_relevance_with_response
327.399	5.007	instructions
332.714	4.999	new_fa
338.39	4.999	old_other_hit
343.992	4.999	old_other_hit
349.411	4.999	old_self_hit
355.053	4.999	new_fa
360.599	4.999	old_self_miss
365.947	4.999	old_other_hit
371.581	4.999	old_self_hit
377.074	4.999	new_fa
382.428	5.0	old_other_hit
388.078	5.0	new_fa
393.779	5.0	new_fa
399.481	5.0	old_other_hit
404.878	5.0	new_fa
410.181	5.0	old_self_hit
415.699	5.0	new_fa
421.164	5.0	new_fa
426.612	5.0	new_fa
431.979	5.0	old_self_hit
437.646	5.0	old_other_hit
443.018	5.0	new_fa
448.329	5.0	new_fa
453.644	5.0	new_fa
459.201	5.0	old_self_hit
475.33	5.006	instructions
480.867	5.0	other_relevance_with_response
486.524	5.0	other_relevance_with_response
491.843	5.0	other_relevance_with_response
497.438	5.0	other_relevance_with_response
502.932	4.999	other_relevance_with_response
508.33	4.999	other_relevance_with_response
513.852	5.006	instructions
519.453	4.999	self_relevance_with_response
525.005	4.999	self_relevance_with_response
530.431	4.999	self_relevance_with_response
536.127	4.999	self_relevance_with_response
541.587	4.999	self_relevance_with_response
546.981	4.999	self_relevance_with_response
565.963	5.007	instructions
571.459	4.999	new_cr
576.965	4.999	new_fa
582.339	4.999	old_other_hit
587.957	4.999	new_fa
593.278	4.999	new_fa
598.871	4.999	old_self_hit
604.51	4.999	old_self_hit
610.019	4.999	old_self_hit
615.523	4.999	new_fa
621.002	4.999	old_self_hit
626.308	4.999	new_fa
631.93	4.999	old_other_hit
637.596	4.999	new_fa
643.106	4.999	old_other_miss
648.647	4.999	new_fa
654.211	4.999	old_self_hit
659.712	4.999	old_other_hit
665.113	4.999	new_fa
670.435	5.0	new_cr
676.121	4.999	old_other_hit
681.477	5.0	new_fa
687.149	5.0	old_self_hit
692.783	5.0	old_other_hit
698.181	5.0	new_fa
