onset	duration	trial_type
9.215	32.749	story
44.285	11.0	math
55.285	10.983	math
66.268	11.184	math
79.939	31.432	story
111.371	30.714	story
142.085	26.223	story
170.612	12.519	math
183.131	12.469	math
195.6	12.553	math
208.153	35.053	story
245.543	12.336	math
257.879	12.035	math
272.434	33.001	story
307.755	12.97	math
320.725	11.635	math
334.88	32.784	story
369.951	11.834	math
381.785	11.735	math
393.52	12.102	math
405.622	13.037	math
421.179	32.951	story
456.45	11.518	dummy
