onset	duration	trial_type
3.002	5.006	instructions
8.369	5.0	self_relevance_with_response
13.861	5.0	self_relevance_with_response
19.433	5.0	self_relevance_with_response
24.899	5.0	self_relevance_with_response
30.282	5.0	self_relevance_with_response
35.676	5.0	self_relevance_with_response
41.236	5.008	instructions
46.835	5.0	other_relevance_with_response
52.375	5.0	other_relevance_with_response
58.031	5.0	other_relevance_with_response
63.479	5.0	other_relevance_with_response
68.826	4.999	other_relevance_with_response
74.412	4.999	other_relevance_with_response
92.504	5.006	instructions
98.044	4.999	old_other_miss
103.433	5.0	old_other_hit
109.049	5.0	new_fa
114.68	5.0	new_fa
120.365	5.0	new_fa
125.84	5.0	old_self_hit
131.388	5.0	old_self_hit
136.83	5.0	new_fa
142.173	5.0	new_fa
147.761	5.0	old_other_miss
153.245	5.0	new_fa
158.675	5.0	old_self_hit
164.295	5.0	new_fa
169.817	5.0	new_fa
175.415	5.0	old_self_hit
180.899	5.0	old_other_miss
186.22	5.0	old_self_miss
191.632	5.0	new_fa
197.045	5.0	new_fa
202.572	5.0	new_fa
208.199	5.0	old_other_hit
213.599	5.0	old_self_hit
218.952	5.0	new_fa
224.464	5.0	old_other_hit
240.504	5.007	instructions
246.202	5.0	self_relevance_with_response
251.664	5.0	self_relevance_with_response
257.249	5.0	self_relevance_with_response
262.629	5.0	self_relevance_with_response
268.097	5.0	self_relevance_with_response
273.58	4.999	self_relevance_with_response
278.978	5.007	instructions
284.34	4.999	other_relevance_with_response
289.853	4.999	other_relevance_with_response
295.422	4.999	other_relevance_with_response
300.734	4.999	other_relevance_with_response
306.319	4.999	other_relevance_with_response
311.997	4.999	other_relevance_with_response
331.43	5.006	instructions
337.134	5.0	old_other_miss
342.45	5.0	new_fa
348.018	5.0	new_fa
353.388	5.0	new_fa
358.738	5.0	old_self_hit
364.332	5.0	new_fa
369.636	5.0	new_fa
375.116	5.0	old_self_miss
380.808	5.0	old_other_hit
386.129	5.0	old_self_hit
391.83	5.0	new_cr
397.439	5.0	old_self_hit
402.798	5.0	old_other_hit
408.432	5.0	old_other_hit
414.113	5.0	new_fa
419.511	5.0	new_fa
424.914	5.0	old_other_hit
430.555	5.0	new_fa
436.135	5.0	old_other_hit
441.714	5.0	new_fa
447.141	5.0	new_fa
452.685	5.0	old_self_hit
458.363	5.0	new_fa
463.76	5.0	old_self_hit
480.333	5.006	instructions
486.0	4.999	other_relevance_with_response
491.596	4.999	other_relevance_with_response
497.058	4.999	other_relevance_with_response
502.362	5.0	other_relevance_with_response
507.709	4.999	other_relevance_with_response
513.273	4.999	other_relevance_with_response
518.748	5.007	instructions
524.133	4.999	self_relevance_with_response
529.6	5.0	self_relevance_with_response
534.926	5.0	self_relevance_with_response
540.429	5.0	self_relevance_with_response
545.77	5.0	self_relevance_with_response
551.471	5.0	self_relevance_with_response
569.802	5.007	instructions
575.215	5.0	new_fa
580.717	5.0	new_fa
586.216	5.0	old_other_hit
591.736	5.0	old_self_hit
597.287	5.0	new_fa
602.986	5.0	old_other_hit
608.378	5.0	new_fa
613.806	5.0	new_fa
619.209	5.0	old_self_hit
624.896	5.0	new_fa
630.39	5.0	new_cr
636.028	5.0	old_other_miss
641.691	5.0	old_self_hit
647.273	5.0	new_fa
652.657	5.0	old_other_hit
657.98	5.0	old_self_hit
663.571	5.0	new_fa
669.075	5.0	old_other_hit
674.706	5.0	old_self_miss
680.185	5.0	old_other_miss
685.771	5.0	new_fa
691.123	5.0	new_fa
696.495	4.999	new_fa
701.971	4.999	old_self_hit
