onset	duration	trial_type
2.007	2.018	music_8
8.038	2.042	silence
14.096	2.019	animal_36
22.132	2.034	silence
28.18	2.02	voice_31
34.216	2.019	animal_9
42.252	2.02	music_3
48.286	2.02	tools_24
54.322	2.009	catch
62.349	2.019	speech_29
68.383	2.019	tools_10
74.417	2.019	animal_48
82.454	2.021	tools_29
88.489	2.021	music_35
94.525	2.01	catch
102.554	2.037	silence
108.606	2.021	nature_12
114.643	2.021	speech_21
122.68	2.017	tools_15
128.712	2.021	music_33
134.747	2.019	animal_8
142.784	2.011	nature_24
148.81	2.021	animal_34
154.845	2.018	speech_35
162.88	2.02	nature_33
168.914	2.021	music_39
174.95	2.02	speech_18
182.987	2.02	nature_3
189.02	2.031	silence
195.067	2.02	tools_8
203.104	2.035	silence
209.154	2.021	music_20
215.191	2.018	voice_24
223.227	2.021	speech_4
229.263	2.02	nature_9
235.296	2.021	animal_23
243.333	2.02	tools_39
249.368	2.02	speech_27
255.404	2.021	music_28
263.444	2.021	voice_32
269.481	2.02	music_7
275.515	2.02	voice_11
283.553	2.022	speech_8
289.59	2.02	nature_18
295.624	2.019	voice_37
303.66	2.019	tools_47
309.695	2.02	music_32
315.731	2.02	voice_36
323.769	2.021	nature_39
329.805	2.009	catch
335.83	2.021	animal_13
343.868	2.02	voice_7
349.902	2.018	animal_14
355.935	2.02	music_30
363.974	2.011	catch
369.999	2.02	tools_48
376.034	2.021	nature_41
384.073	2.018	voice_13
390.108	2.02	tools_22
396.143	2.021	animal_27
404.182	2.02	music_12
410.216	2.009	catch
416.241	2.017	nature_19
424.274	2.02	tools_19
430.31	2.021	animal_7
436.345	2.02	nature_6
444.383	2.02	music_23
450.416	2.021	voice_23
456.452	2.021	tools_34
464.488	2.013	speech_38
470.516	2.021	voice_9
476.553	2.021	nature_4
484.593	2.02	voice_16
490.628	2.023	tools_37
496.666	2.021	speech_22
504.705	2.019	animal_16
510.739	2.02	speech_25
516.773	2.02	animal_10
524.81	2.021	voice_15
530.847	2.02	speech_12
536.882	2.021	nature_7
544.921	2.021	speech_2
546.952	4.005	fixation
