onset	duration	trial_type
10.983	3.055	shape
14.038	3.055	shape
17.093	3.055	shape
20.148	3.054	shape
23.202	3.055	shape
26.257	3.155	shape
32.366	3.122	face
35.488	3.104	face
38.592	3.072	face
41.664	3.121	face
44.785	3.105	face
47.89	3.172	face
53.949	3.055	shape
57.004	3.055	shape
60.059	3.054	shape
63.113	3.055	shape
66.168	3.055	shape
69.223	3.171	shape
75.365	3.105	face
78.47	3.122	face
81.592	3.138	face
84.73	3.105	face
87.835	3.121	face
90.956	3.155	face
97.015	3.055	shape
100.07	3.055	shape
103.125	3.054	shape
106.179	3.055	shape
109.234	3.055	shape
112.289	3.171	shape
118.348	3.071	face
121.419	3.055	face
124.474	3.072	face
127.546	3.071	face
130.617	3.071	face
133.688	3.172	face
139.748	3.054	shape
142.802	3.055	shape
145.857	3.055	shape
148.912	3.054	shape
151.966	3.055	shape
155.021	3.171	shape
161.08	3.072	face
164.152	3.071	face
167.223	3.071	face
170.294	3.072	face
173.366	3.071	face
176.437	3.188	face
182.496	3.055	shape
185.551	3.055	shape
188.606	3.054	shape
191.66	3.055	shape
194.715	3.055	shape
197.77	3.188	shape
203.846	3.054	face
206.9	3.072	face
209.972	3.071	face
213.043	3.072	face
216.115	3.071	face
219.186	3.171	face
225.245	3.072	shape
228.317	3.054	shape
231.371	3.055	shape
234.426	3.055	shape
237.481	3.054	shape
240.535	3.155	shape
246.611	3.055	face
249.666	3.072	face
252.738	3.071	face
255.809	3.071	face
258.88	3.071	face
261.951	3.038	face
