onset	duration	trial_type
3.01	2.002	we_all_reference
9.017	2.001	we_all_time_cue
15.023	2.002	we_after_close_event
17.026	3.005	we_all_event_response
20.032	2.002	we_before_close_event
22.035	3.006	we_all_event_response
25.042	2.002	we_before_close_event
27.045	3.004	we_all_event_response
30.051	2.002	we_after_close_event
32.054	3.005	we_all_event_response
42.071	2.003	we_all_reference
48.078	2.002	we_all_time_cue
54.085	2.002	we_before_far_event
56.088	3.004	we_all_event_response
59.093	2.003	we_after_far_event
61.097	3.004	we_all_event_response
64.102	2.001	we_before_far_event
66.104	3.005	we_all_event_response
69.111	2.002	we_after_far_event
71.113	3.006	we_all_event_response
81.131	2.002	we_all_reference
87.137	2.002	we_all_space_cue
93.144	2.002	we_westside_far_event
95.147	3.005	we_all_event_response
98.153	2.002	we_eastside_far_event
100.155	3.006	we_all_event_response
103.162	2.002	we_eastside_far_event
105.165	3.005	we_all_event_response
108.171	2.002	we_westside_far_event
110.174	3.005	we_all_event_response
120.19	2.002	we_all_reference
126.196	2.002	we_all_space_cue
132.203	2.002	we_eastside_close_event
134.205	3.005	we_all_event_response
137.211	2.002	we_eastside_close_event
139.214	3.005	we_all_event_response
142.22	2.002	we_westside_close_event
144.223	3.005	we_all_event_response
147.229	2.002	we_westside_close_event
149.232	3.006	we_all_event_response
159.25	2.001	we_all_reference
165.256	2.002	we_all_space_cue
171.262	2.002	we_westside_close_event
173.264	3.006	we_all_event_response
176.271	2.003	we_westside_close_event
178.275	3.004	we_all_event_response
181.28	2.001	we_eastside_close_event
183.282	3.005	we_all_event_response
186.288	2.002	we_eastside_close_event
188.291	3.005	we_all_event_response
198.307	2.002	we_all_reference
204.313	2.002	we_all_space_cue
210.32	2.002	we_westside_far_event
212.323	3.005	we_all_event_response
215.329	2.003	we_eastside_far_event
217.333	3.004	we_all_event_response
220.338	2.001	we_westside_far_event
222.34	3.004	we_all_event_response
225.345	2.003	we_eastside_far_event
227.349	3.005	we_all_event_response
237.365	2.002	we_all_reference
243.371	2.002	we_all_time_cue
249.378	2.002	we_after_close_event
251.38	3.005	we_all_event_response
254.386	2.003	we_before_close_event
256.389	3.005	we_all_event_response
259.395	2.002	we_before_close_event
261.398	3.005	we_all_event_response
264.404	2.003	we_after_close_event
266.408	3.004	we_all_event_response
276.423	2.003	we_all_reference
282.43	2.001	we_all_space_cue
288.436	2.001	we_eastside_far_event
290.438	3.005	we_all_event_response
293.444	2.002	we_westside_far_event
295.447	3.005	we_all_event_response
298.453	2.003	we_westside_far_event
300.457	3.004	we_all_event_response
303.462	2.001	we_eastside_far_event
305.464	3.005	we_all_event_response
315.482	2.001	we_all_reference
321.487	2.002	we_all_time_cue
327.494	2.002	we_before_far_event
329.497	3.005	we_all_event_response
332.503	2.001	we_after_far_event
334.505	3.006	we_all_event_response
337.512	2.002	we_after_far_event
339.515	3.005	we_all_event_response
342.521	2.004	we_before_far_event
344.526	3.004	we_all_event_response
354.543	2.001	we_all_reference
360.548	2.003	we_all_space_cue
366.555	2.002	we_eastside_close_event
368.558	3.005	we_all_event_response
371.564	2.003	we_westside_close_event
373.568	3.004	we_all_event_response
376.573	2.002	we_eastside_close_event
378.576	3.005	we_all_event_response
381.582	2.002	we_westside_close_event
383.585	3.005	we_all_event_response
393.602	2.002	we_all_reference
399.608	2.003	we_all_space_cue
405.615	2.002	we_eastside_far_event
407.618	3.003	we_all_event_response
410.622	2.003	we_westside_far_event
412.626	3.005	we_all_event_response
415.632	2.002	we_westside_far_event
417.634	3.005	we_all_event_response
420.64	2.002	we_eastside_far_event
422.643	3.006	we_all_event_response
432.66	2.002	we_all_reference
