onset	duration	trial_type
3.0	2.001	we_all_reference
9.002	2.001	we_all_space_cue
15.005	2.0	we_westside_far_event
17.005	3.002	we_all_event_response
20.007	2.001	we_eastside_far_event
22.008	3.002	we_all_event_response
25.01	2.001	we_eastside_far_event
27.011	3.003	we_all_event_response
30.014	2.001	we_westside_far_event
32.015	3.002	we_all_event_response
42.022	2.001	we_all_reference
48.025	2.0	we_all_space_cue
54.027	2.0	we_eastside_close_event
56.027	3.003	we_all_event_response
59.03	2.0	we_westside_close_event
61.03	3.003	we_all_event_response
64.033	2.001	we_westside_close_event
66.034	3.002	we_all_event_response
69.036	2.001	we_eastside_close_event
71.037	3.002	we_all_event_response
81.045	2.0	we_all_reference
87.047	2.001	we_all_space_cue
93.049	2.002	we_westside_far_event
95.051	3.001	we_all_event_response
98.053	2.0	we_westside_far_event
100.054	3.001	we_all_event_response
103.056	2.0	we_eastside_far_event
105.057	3.001	we_all_event_response
108.059	2.0	we_eastside_far_event
110.06	3.003	we_all_event_response
120.068	2.0	we_all_reference
126.07	2.0	we_all_time_cue
132.072	2.0	we_after_far_event
134.072	3.003	we_all_event_response
137.075	2.001	we_before_far_event
139.076	3.002	we_all_event_response
142.078	2.001	we_before_far_event
144.079	3.002	we_all_event_response
147.081	2.001	we_after_far_event
149.082	3.002	we_all_event_response
159.09	2.001	we_all_reference
165.092	2.001	we_all_time_cue
171.094	2.001	we_after_close_event
173.095	3.002	we_all_event_response
176.097	2.001	we_before_close_event
178.098	3.001	we_all_event_response
181.099	2.001	we_before_close_event
183.1	3.003	we_all_event_response
186.103	2.001	we_after_close_event
188.104	3.002	we_all_event_response
198.111	2.001	we_all_reference
204.113	2.0	we_all_space_cue
210.115	2.0	we_westside_far_event
212.115	3.002	we_all_event_response
215.117	2.001	we_eastside_far_event
217.118	3.002	we_all_event_response
220.12	2.001	we_westside_far_event
222.121	3.002	we_all_event_response
225.123	2.001	we_eastside_far_event
227.124	3.002	we_all_event_response
237.132	2.001	we_all_reference
243.134	2.001	we_all_space_cue
249.136	2.001	we_westside_close_event
251.137	3.003	we_all_event_response
254.14	2.0	we_eastside_close_event
256.14	3.003	we_all_event_response
259.143	2.001	we_westside_close_event
261.144	3.002	we_all_event_response
264.146	2.001	we_eastside_close_event
266.147	3.002	we_all_event_response
276.155	2.0	we_all_reference
282.157	2.0	we_all_space_cue
288.159	2.001	we_eastside_far_event
290.16	3.002	we_all_event_response
293.162	2.001	we_westside_far_event
295.163	3.002	we_all_event_response
298.165	2.001	we_westside_far_event
300.166	3.003	we_all_event_response
303.169	2.001	we_eastside_far_event
305.17	3.003	we_all_event_response
315.179	2.0	we_all_reference
321.181	2.0	we_all_time_cue
327.183	2.0	we_after_far_event
329.183	3.002	we_all_event_response
332.186	2.0	we_before_far_event
334.187	3.002	we_all_event_response
337.189	2.001	we_after_far_event
339.19	3.002	we_all_event_response
342.193	2.0	we_before_far_event
344.194	3.001	we_all_event_response
354.201	2.001	we_all_reference
360.204	2.0	we_all_time_cue
366.206	2.001	we_before_far_event
368.207	3.002	we_all_event_response
371.209	2.0	we_after_far_event
373.209	3.004	we_all_event_response
376.213	2.001	we_after_far_event
378.214	3.001	we_all_event_response
381.215	2.001	we_before_far_event
383.216	3.003	we_all_event_response
393.225	2.001	we_all_reference
399.228	2.0	we_all_time_cue
405.23	2.0	we_after_close_event
407.23	3.004	we_all_event_response
410.234	2.001	we_before_close_event
412.235	3.001	we_all_event_response
415.236	2.001	we_before_close_event
417.237	3.003	we_all_event_response
420.24	2.0	we_after_close_event
422.24	3.003	we_all_event_response
432.248	2.0	we_all_reference
438.25	2.001	we_all_time_cue
444.252	2.001	we_before_far_event
446.253	3.002	we_all_event_response
449.255	2.0	we_after_far_event
451.256	3.003	we_all_event_response
454.259	2.001	we_before_far_event
456.26	3.001	we_all_event_response
459.262	2.001	we_after_far_event
461.263	3.002	we_all_event_response
471.271	2.0	we_all_reference
477.273	2.0	we_all_time_cue
483.275	2.001	we_after_close_event
485.276	3.002	we_all_event_response
488.278	2.001	we_after_close_event
490.279	3.002	we_all_event_response
493.281	2.0	we_before_close_event
495.282	3.003	we_all_event_response
498.285	2.001	we_before_close_event
500.286	3.002	we_all_event_response
510.293	2.0	we_all_reference
516.295	2.001	we_all_time_cue
522.297	2.001	we_before_close_event
524.298	3.002	we_all_event_response
527.301	2.0	we_after_close_event
529.301	3.002	we_all_event_response
532.304	2.0	we_before_close_event
534.304	3.003	we_all_event_response
537.307	2.001	we_after_close_event
539.308	3.002	we_all_event_response
549.316	2.0	we_all_reference
555.318	2.0	we_all_space_cue
561.32	2.0	we_westside_far_event
563.32	3.002	we_all_event_response
566.322	2.001	we_eastside_far_event
568.324	3.001	we_all_event_response
571.325	2.001	we_westside_far_event
573.326	3.003	we_all_event_response
576.329	2.001	we_eastside_far_event
578.331	3.001	we_all_event_response
588.338	2.001	we_all_reference
594.34	2.001	we_all_time_cue
600.342	2.001	we_after_close_event
602.343	3.003	we_all_event_response
605.346	2.0	we_before_close_event
607.346	3.004	we_all_event_response
610.35	2.0	we_before_close_event
612.35	3.003	we_all_event_response
615.353	2.0	we_after_close_event
617.353	3.003	we_all_event_response
627.361	2.0	we_all_reference
633.363	2.0	we_all_space_cue
639.365	2.001	we_eastside_close_event
641.366	3.002	we_all_event_response
644.368	2.001	we_eastside_close_event
646.369	3.002	we_all_event_response
649.371	2.002	we_westside_close_event
651.373	3.001	we_all_event_response
654.374	2.001	we_westside_close_event
656.375	3.002	we_all_event_response
666.383	2.001	we_all_reference
672.385	2.001	we_all_time_cue
678.388	2.0	we_after_far_event
680.388	3.002	we_all_event_response
683.39	2.0	we_before_far_event
685.391	3.002	we_all_event_response
688.393	2.001	we_before_far_event
690.394	3.002	we_all_event_response
693.396	2.001	we_after_far_event
695.397	3.003	we_all_event_response
705.406	2.0	we_all_reference
711.408	2.0	we_all_space_cue
717.41	2.0	we_westside_close_event
719.411	3.002	we_all_event_response
722.413	2.001	we_eastside_close_event
724.414	3.002	we_all_event_response
727.416	2.001	we_eastside_close_event
729.417	3.002	we_all_event_response
732.419	2.001	we_westside_close_event
734.42	3.002	we_all_event_response
744.428	2.001	we_all_reference
750.43	2.001	we_all_space_cue
756.433	2.0	we_eastside_close_event
758.433	3.003	we_all_event_response
761.436	2.001	we_westside_close_event
763.437	3.002	we_all_event_response
766.439	2.001	we_eastside_close_event
768.44	3.002	we_all_event_response
771.442	2.001	we_westside_close_event
773.443	3.002	we_all_event_response
