onset	duration	trial_type
2.005	2.018	music_25
8.048	2.043	silence
14.105	2.019	speech_31
22.142	2.021	tools_16
28.178	2.021	speech_28
34.214	2.019	animal_24
42.254	2.02	tools_14
48.29	2.01	catch
54.316	2.021	voice_12
62.354	2.019	music_14
68.387	2.022	nature_48
74.426	2.019	speech_30
82.465	2.02	animal_38
88.502	2.021	tools_28
94.539	2.013	voice_22
102.57	2.014	speech_48
108.599	2.039	silence
114.655	2.02	animal_43
122.694	2.018	speech_44
128.728	2.019	music_18
134.763	2.02	tools_45
142.804	2.019	animal_42
148.839	2.022	nature_34
154.875	2.019	tools_18
162.91	2.02	voice_3
168.944	2.021	music_45
174.98	2.02	animal_6
183.02	2.018	nature_36
189.054	2.019	voice_35
195.089	2.021	music_41
203.134	2.014	voice_45
209.164	2.02	speech_20
215.2	2.02	nature_38
223.241	2.009	catch
229.266	2.019	music_5
235.3	2.021	speech_40
243.34	2.02	tools_35
249.376	2.019	nature_22
255.411	2.022	music_29
263.451	2.015	nature_17
269.483	2.022	tools_32
275.522	2.021	animal_40
283.562	2.018	tools_36
289.595	2.02	animal_4
295.631	2.021	nature_2
303.671	2.021	voice_44
309.709	2.02	music_44
315.745	2.009	catch
323.774	2.02	voice_2
329.811	2.021	speech_7
335.847	2.027	silence
343.895	2.02	animal_44
349.932	2.02	music_13
355.967	2.012	catch
363.998	2.021	tools_11
370.034	2.022	animal_3
376.071	2.03	silence
384.121	2.017	tools_27
390.156	2.009	catch
396.181	2.021	speech_23
404.22	2.02	nature_10
410.255	2.019	voice_1
416.289	2.02	speech_42
424.328	2.02	voice_4
430.363	2.021	nature_40
436.4	2.02	music_24
444.438	2.019	nature_5
450.473	2.021	tools_5
456.511	2.019	animal_32
464.551	2.018	speech_34
470.586	2.011	nature_28
476.613	2.02	voice_21
484.653	2.031	silence
490.698	2.021	music_11
496.735	2.02	voice_41
504.775	2.013	animal_35
510.804	2.02	nature_15
516.84	2.02	music_46
524.877	2.019	tools_42
530.912	2.02	voice_20
536.947	2.013	animal_19
544.979	2.02	speech_39
547.009	4.006	fixation
