onset	duration	trial_type
3.01	2.002	sn_all_reference
9.016	2.003	sn_all_time_cue
15.023	2.002	sn_before_close_event
17.026	3.005	sn_all_event_response
20.032	2.002	sn_before_close_event
22.035	3.005	sn_all_event_response
25.041	2.002	sn_after_close_event
27.044	3.005	sn_all_event_response
30.05	2.002	sn_after_close_event
32.053	3.006	sn_all_event_response
42.07	2.002	sn_all_reference
48.076	2.002	sn_all_space_cue
54.083	2.002	sn_southside_far_event
56.085	3.006	sn_all_event_response
59.092	2.002	sn_southside_far_event
61.095	3.005	sn_all_event_response
64.101	2.002	sn_northside_far_event
66.104	3.004	sn_all_event_response
69.11	2.003	sn_northside_far_event
71.114	3.004	sn_all_event_response
81.129	2.002	sn_all_reference
87.135	2.001	sn_all_space_cue
93.141	2.002	sn_southside_far_event
95.144	3.004	sn_all_event_response
98.149	2.002	sn_northside_far_event
100.152	3.004	sn_all_event_response
103.157	2.002	sn_southside_far_event
105.16	3.004	sn_all_event_response
108.165	2.002	sn_northside_far_event
110.168	3.005	sn_all_event_response
120.185	2.002	sn_all_reference
126.191	2.003	sn_all_time_cue
132.198	2.002	sn_before_close_event
134.201	3.005	sn_all_event_response
137.207	2.002	sn_after_close_event
139.209	3.006	sn_all_event_response
142.216	2.002	sn_after_close_event
144.219	3.004	sn_all_event_response
147.224	2.002	sn_before_close_event
149.227	3.004	sn_all_event_response
159.245	2.001	sn_all_reference
165.251	2.002	sn_all_time_cue
171.257	2.002	sn_before_far_event
173.26	3.005	sn_all_event_response
176.266	2.002	sn_after_far_event
178.269	3.005	sn_all_event_response
181.275	2.001	sn_after_far_event
183.277	3.005	sn_all_event_response
186.283	2.002	sn_before_far_event
188.286	3.005	sn_all_event_response
198.303	2.002	sn_all_reference
204.31	2.001	sn_all_space_cue
210.316	2.002	sn_southside_far_event
212.318	3.005	sn_all_event_response
215.325	2.002	sn_southside_far_event
217.327	3.005	sn_all_event_response
220.333	2.003	sn_northside_far_event
222.337	3.004	sn_all_event_response
225.342	2.003	sn_northside_far_event
227.346	3.004	sn_all_event_response
237.362	2.002	sn_all_reference
243.369	2.002	sn_all_time_cue
249.376	2.002	sn_after_close_event
251.378	3.006	sn_all_event_response
254.385	2.002	sn_before_close_event
256.388	3.005	sn_all_event_response
259.394	2.001	sn_after_close_event
261.396	3.005	sn_all_event_response
264.402	2.002	sn_before_close_event
266.405	3.005	sn_all_event_response
276.421	2.002	sn_all_reference
282.427	2.002	sn_all_space_cue
288.434	2.002	sn_northside_far_event
290.436	3.004	sn_all_event_response
293.441	2.002	sn_southside_far_event
295.443	3.004	sn_all_event_response
298.448	2.001	sn_southside_far_event
300.45	3.004	sn_all_event_response
303.455	2.002	sn_northside_far_event
305.458	3.004	sn_all_event_response
315.473	2.002	sn_all_reference
321.479	2.002	sn_all_time_cue
327.486	2.002	sn_before_close_event
329.488	3.006	sn_all_event_response
332.495	2.003	sn_after_close_event
334.499	3.004	sn_all_event_response
337.504	2.002	sn_before_close_event
339.506	3.006	sn_all_event_response
342.513	2.003	sn_after_close_event
344.517	3.004	sn_all_event_response
354.532	2.002	sn_all_reference
360.538	2.002	sn_all_space_cue
366.544	2.002	sn_southside_close_event
368.547	3.004	sn_all_event_response
371.552	2.002	sn_northside_close_event
373.555	3.004	sn_all_event_response
376.56	2.002	sn_southside_close_event
378.563	3.004	sn_all_event_response
381.568	2.002	sn_northside_close_event
383.57	3.005	sn_all_event_response
393.586	2.002	sn_all_reference
399.593	2.002	sn_all_space_cue
405.599	2.002	sn_southside_close_event
407.602	3.005	sn_all_event_response
410.608	2.002	sn_southside_close_event
412.611	3.005	sn_all_event_response
415.617	2.004	sn_northside_close_event
417.622	3.005	sn_all_event_response
420.628	2.002	sn_northside_close_event
422.631	3.006	sn_all_event_response
432.648	2.002	sn_all_reference
438.654	2.002	sn_all_time_cue
444.66	2.002	sn_before_far_event
446.663	3.004	sn_all_event_response
449.668	2.002	sn_after_far_event
451.671	3.005	sn_all_event_response
454.677	2.002	sn_before_far_event
456.68	3.005	sn_all_event_response
459.686	2.002	sn_after_far_event
461.689	3.003	sn_all_event_response
471.704	2.002	sn_all_reference
477.711	2.001	sn_all_space_cue
483.717	2.003	sn_southside_close_event
485.721	3.003	sn_all_event_response
488.725	2.003	sn_northside_close_event
490.729	3.004	sn_all_event_response
493.734	2.002	sn_northside_close_event
495.736	3.005	sn_all_event_response
498.743	2.003	sn_southside_close_event
500.747	3.004	sn_all_event_response
510.762	2.002	sn_all_reference
516.768	2.002	sn_all_time_cue
522.774	2.002	sn_after_close_event
524.777	3.004	sn_all_event_response
527.782	2.001	sn_before_close_event
529.784	3.005	sn_all_event_response
532.79	2.003	sn_after_close_event
534.794	3.004	sn_all_event_response
537.799	2.002	sn_before_close_event
539.802	3.006	sn_all_event_response
549.819	2.002	sn_all_reference
555.825	2.003	sn_all_time_cue
561.832	2.002	sn_before_far_event
563.834	3.005	sn_all_event_response
566.84	2.003	sn_after_far_event
568.844	3.004	sn_all_event_response
571.848	2.003	sn_before_far_event
573.851	3.005	sn_all_event_response
576.857	2.002	sn_after_far_event
578.86	3.004	sn_all_event_response
588.876	2.002	sn_all_reference
594.883	2.002	sn_all_space_cue
600.889	2.002	sn_northside_far_event
602.892	3.004	sn_all_event_response
605.897	2.002	sn_southside_far_event
607.9	3.004	sn_all_event_response
610.905	2.002	sn_northside_far_event
612.908	3.005	sn_all_event_response
615.914	2.003	sn_southside_far_event
617.918	3.004	sn_all_event_response
627.933	2.002	sn_all_reference
633.939	2.002	sn_all_time_cue
639.946	2.002	sn_after_far_event
641.949	3.004	sn_all_event_response
644.954	2.003	sn_before_far_event
646.958	3.003	sn_all_event_response
649.962	2.003	sn_after_far_event
651.966	3.004	sn_all_event_response
654.971	2.002	sn_before_far_event
656.973	3.006	sn_all_event_response
666.991	2.002	sn_all_reference
672.997	2.002	sn_all_space_cue
679.004	2.001	sn_southside_close_event
681.006	3.005	sn_all_event_response
684.012	2.002	sn_northside_close_event
686.014	3.006	sn_all_event_response
689.021	2.003	sn_southside_close_event
691.025	3.004	sn_all_event_response
694.029	2.002	sn_northside_close_event
696.032	3.004	sn_all_event_response
706.048	2.002	sn_all_reference
712.054	2.002	sn_all_space_cue
718.061	2.003	sn_northside_close_event
720.065	3.004	sn_all_event_response
723.07	2.003	sn_southside_close_event
725.074	3.004	sn_all_event_response
728.079	2.002	sn_southside_close_event
730.082	3.005	sn_all_event_response
733.088	2.002	sn_northside_close_event
735.09	3.006	sn_all_event_response
745.108	2.001	sn_all_reference
751.113	2.002	sn_all_time_cue
757.12	2.002	sn_after_far_event
759.123	3.004	sn_all_event_response
762.128	2.002	sn_before_far_event
764.131	3.005	sn_all_event_response
767.137	2.003	sn_after_far_event
769.141	3.006	sn_all_event_response
772.148	2.002	sn_before_far_event
774.151	3.004	sn_all_event_response
