onset	duration	trial_type
3.002	5.008	instructions
8.565	5.0	self_relevance_with_response
14.127	5.0	self_relevance_with_response
19.463	5.0	self_relevance_with_response
24.792	5.0	self_relevance_with_response
30.261	5.0	self_relevance_with_response
35.683	5.0	self_relevance_with_response
41.239	5.008	instructions
46.696	5.012	other_relevance_no_response
52.362	5.0	other_relevance_with_response
57.925	5.0	other_relevance_with_response
63.433	5.0	other_relevance_with_response
69.093	5.0	other_relevance_with_response
74.699	5.0	other_relevance_with_response
91.58	5.007	instructions
97.09	5.0	new_cr
102.58	5.0	old_other_hit
108.119	5.0	old_self_hit
113.611	5.0	new_fa
119.276	5.0	old_self_miss
124.866	5.011	new_no_response
130.239	5.0	new_fa
135.792	5.011	old_other_no_response
141.375	5.0	old_other_hit
146.719	5.0	new_fa
152.373	5.011	old_other_no_response
158.055	5.0	new_fa
163.443	5.011	new_no_response
169.129	5.0	old_self_hit
174.573	5.013	new_no_response
180.146	5.0	new_cr
185.538	5.01	old_self_no_response
191.123	5.011	new_no_response
196.554	4.999	old_self_hit
202.095	4.999	old_other_miss
207.576	4.999	new_fa
213.217	4.999	old_other_hit
218.591	5.012	old_self_no_response
224.273	4.999	new_fa
241.821	5.007	instructions
247.19	5.011	self_relevance_no_response
252.712	4.999	self_relevance_with_response
258.171	4.999	self_relevance_with_response
263.745	4.999	self_relevance_with_response
269.144	4.999	self_relevance_with_response
274.646	4.999	self_relevance_with_response
280.281	5.007	instructions
285.899	5.012	other_relevance_no_response
291.478	5.011	other_relevance_no_response
296.95	4.999	other_relevance_with_response
302.563	4.999	other_relevance_with_response
308.002	4.999	other_relevance_with_response
313.7	4.999	other_relevance_with_response
332.525	5.006	instructions
338.228	5.011	new_no_response
343.563	5.011	new_no_response
349.183	4.999	old_other_hit
354.78	4.999	new_fa
360.414	4.999	old_other_hit
365.765	5.011	new_no_response
371.133	4.999	new_fa
376.487	5.011	old_self_no_response
382.175	4.999	old_other_hit
387.674	4.999	new_fa
393.25	4.999	old_other_miss
398.596	4.999	new_fa
404.192	5.011	old_self_no_response
409.885	5.011	new_no_response
415.513	4.999	new_fa
420.902	5.011	old_self_no_response
426.36	4.999	new_fa
431.76	4.999	old_other_hit
437.387	5.01	old_self_no_response
442.973	5.01	new_no_response
448.338	4.999	new_fa
453.799	5.01	old_self_no_response
459.474	5.0	old_self_hit
464.878	5.0	old_other_miss
483.143	5.007	instructions
488.688	5.0	other_relevance_with_response
494.079	5.011	other_relevance_no_response
499.569	5.01	other_relevance_no_response
504.947	5.0	other_relevance_with_response
510.393	5.011	other_relevance_no_response
515.949	5.011	other_relevance_no_response
521.469	5.006	instructions
526.981	5.011	self_relevance_no_response
532.688	5.011	self_relevance_no_response
538.236	5.011	self_relevance_no_response
543.845	5.0	self_relevance_with_response
549.2	5.0	self_relevance_with_response
554.697	5.019	self_relevance_no_response
573.74	5.007	instructions
579.233	5.011	old_self_no_response
584.822	5.0	old_self_hit
590.14	5.0	old_other_hit
595.696	5.011	new_no_response
601.175	5.0	old_self_hit
606.597	5.012	new_no_response
612.022	5.0	old_other_hit
617.475	5.011	old_other_no_response
623.106	5.0	new_fa
628.528	5.012	new_no_response
634.047	5.0	new_cr
639.502	5.011	old_self_no_response
645.015	4.999	old_self_miss
650.56	4.999	new_fa
656.06	5.011	new_no_response
661.692	5.011	old_other_no_response
667.324	5.011	old_other_no_response
672.654	4.999	new_fa
678.079	4.999	new_cr
683.74	4.999	new_fa
689.225	4.999	old_other_miss
694.861	4.999	new_fa
700.363	4.999	new_fa
706.026	4.999	old_self_miss
