onset	duration	trial_type
8.096	0.918	left_hand_cue
9.014	1.235	left_hand
10.249	1.252	left_hand
11.501	1.252	left_hand
12.753	1.252	left_hand
14.005	1.252	left_hand
15.257	1.252	left_hand
16.509	1.235	left_hand
17.744	1.252	left_hand
18.996	1.236	left_hand
20.232	1.318	left_hand
21.55	0.918	right_foot_cue
22.468	1.252	right_foot
23.72	1.235	right_foot
24.955	1.252	right_foot
26.207	1.252	right_foot
27.459	1.252	right_foot
28.711	1.252	right_foot
29.963	1.252	right_foot
31.215	1.235	right_foot
32.45	1.252	right_foot
33.702	1.319	right_foot
50.027	0.918	tongue_cue
50.945	1.252	tongue
52.197	1.252	tongue
53.449	1.252	tongue
54.701	1.252	tongue
55.953	1.252	tongue
57.205	1.235	tongue
58.44	1.236	tongue
59.676	1.251	tongue
60.927	1.236	tongue
62.163	1.318	tongue
63.481	0.935	left_foot_cue
64.416	1.252	left_foot
65.668	1.252	left_foot
66.92	1.252	left_foot
68.172	1.235	left_foot
69.407	1.252	left_foot
70.659	1.252	left_foot
71.911	1.252	left_foot
73.163	1.235	left_foot
74.398	1.252	left_foot
75.65	1.319	left_foot
76.969	0.918	right_hand_cue
77.887	1.235	right_hand
79.122	1.252	right_hand
80.374	1.235	right_hand
81.609	1.252	right_hand
82.861	1.252	right_hand
84.113	1.235	right_hand
85.348	1.236	right_hand
86.584	1.251	right_hand
87.835	1.236	right_hand
89.071	1.318	right_hand
105.396	0.918	left_hand_cue
106.314	1.235	left_hand
107.549	1.235	left_hand
108.784	1.252	left_hand
110.036	1.252	left_hand
111.288	1.235	left_hand
112.523	1.236	left_hand
113.759	1.235	left_hand
114.994	1.252	left_hand
116.246	1.252	left_hand
117.498	1.318	left_hand
118.816	0.918	tongue_cue
119.734	1.252	tongue
120.986	1.236	tongue
122.222	1.235	tongue
123.457	1.252	tongue
124.709	1.252	tongue
125.961	1.235	tongue
127.196	1.252	tongue
128.448	1.252	tongue
129.7	1.252	tongue
130.952	1.318	tongue
132.27	0.935	right_foot_cue
133.205	1.252	right_foot
134.457	1.235	right_foot
135.692	1.236	right_foot
136.928	1.251	right_foot
138.179	1.236	right_foot
139.415	1.252	right_foot
140.667	1.235	right_foot
141.902	1.235	right_foot
143.137	1.235	right_foot
144.372	1.319	right_foot
145.691	0.935	right_hand_cue
146.626	1.252	right_hand
147.878	1.252	right_hand
149.13	1.235	right_hand
150.365	1.235	right_hand
151.6	1.252	right_hand
152.852	1.252	right_hand
154.104	1.235	right_hand
155.339	1.252	right_hand
156.591	1.235	right_hand
157.826	1.319	right_hand
159.145	0.918	left_foot_cue
160.063	1.235	left_foot
161.298	1.252	left_foot
162.55	1.235	left_foot
163.785	1.252	left_foot
165.037	1.252	left_foot
166.289	1.252	left_foot
167.541	1.252	left_foot
168.793	1.235	left_foot
170.028	1.236	left_foot
171.264	1.302	left_foot
187.589	0.918	right_hand_cue
188.507	1.252	right_hand
189.759	1.252	right_hand
191.011	1.235	right_hand
192.246	1.252	right_hand
193.498	1.235	right_hand
194.733	1.252	right_hand
195.985	1.235	right_hand
197.22	1.252	right_hand
198.472	1.252	right_hand
199.724	1.319	right_hand
201.043	0.935	left_foot_cue
201.978	1.235	left_foot
203.213	1.235	left_foot
204.448	1.252	left_foot
205.7	1.236	left_foot
206.936	1.235	left_foot
208.171	1.251	left_foot
209.422	1.236	left_foot
210.658	1.252	left_foot
211.91	1.235	left_foot
213.145	1.335	left_foot
214.48	0.901	tongue_cue
215.381	1.236	tongue
216.617	1.252	tongue
217.869	1.235	tongue
219.104	1.252	tongue
220.356	1.252	tongue
221.608	1.252	tongue
222.86	1.252	tongue
224.112	1.235	tongue
225.347	1.252	tongue
226.599	1.318	tongue
227.917	0.919	right_foot_cue
228.836	1.251	right_foot
230.087	1.236	right_foot
231.323	1.252	right_foot
232.575	1.252	right_foot
233.827	1.235	right_foot
235.062	1.252	right_foot
236.314	1.235	right_foot
237.549	1.235	right_foot
238.784	1.235	right_foot
240.019	1.302	right_foot
241.321	0.952	left_hand_cue
242.273	1.252	left_hand
243.525	1.252	left_hand
244.777	1.235	left_hand
246.012	1.252	left_hand
247.264	1.235	left_hand
248.499	1.252	left_hand
249.751	1.252	left_hand
251.003	1.235	left_hand
252.238	1.252	left_hand
253.49	1.285	left_hand
269.815	0.918	tongue_cue
270.733	1.252	tongue
271.985	1.252	tongue
273.237	1.236	tongue
274.473	1.251	tongue
275.724	1.252	tongue
276.976	1.252	tongue
278.228	1.235	tongue
279.463	1.252	tongue
280.715	1.236	tongue
281.951	1.318	tongue
283.269	0.918	left_foot_cue
284.187	1.252	left_foot
285.439	1.252	left_foot
286.691	1.235	left_foot
287.926	1.252	left_foot
289.178	1.252	left_foot
290.43	1.235	left_foot
291.665	1.252	left_foot
292.917	1.252	left_foot
294.169	1.236	left_foot
295.405	1.318	left_foot
296.723	0.918	right_hand_cue
297.641	1.236	right_hand
298.877	1.235	right_hand
300.112	1.235	right_hand
301.347	1.252	right_hand
302.599	1.235	right_hand
303.834	1.252	right_hand
305.086	1.235	right_hand
306.321	1.252	right_hand
307.573	1.252	right_hand
308.825	1.302	right_hand
325.15	0.918	left_hand_cue
