onset	duration	trial_type
3.002	5.008	instructions
8.576	5.0	self_relevance_with_response
14.277	5.0	self_relevance_with_response
19.666	5.0	self_relevance_with_response
25.2	5.0	self_relevance_with_response
30.546	5.0	self_relevance_with_response
36.01	5.0	self_relevance_with_response
41.344	5.006	instructions
46.766	5.0	other_relevance_with_response
52.23	5.0	other_relevance_with_response
57.796	5.0	other_relevance_with_response
63.4	5.0	other_relevance_with_response
68.759	5.0	other_relevance_with_response
74.282	5.0	other_relevance_with_response
89.834	5.007	instructions
95.473	5.0	old_self_hit
101.111	4.999	old_other_hit
106.443	5.0	old_other_hit
111.952	5.0	new_fa
117.518	5.0	new_fa
122.876	5.0	new_fa
128.404	5.0	old_self_hit
133.978	5.0	old_self_hit
139.305	5.0	old_other_hit
144.621	4.999	new_fa
150.098	4.999	old_self_hit
155.467	4.999	new_fa
160.808	4.999	new_cr
166.334	4.999	new_fa
171.953	4.999	old_self_hit
177.366	4.999	new_fa
183.03	4.999	new_fa
188.495	4.999	old_other_hit
194.128	4.999	old_other_hit
199.571	4.999	new_fa
205.185	4.999	old_other_miss
210.755	4.999	new_fa
216.224	4.999	old_self_hit
221.56	4.999	new_fa
239.369	5.007	instructions
245.007	4.999	self_relevance_with_response
250.486	4.999	self_relevance_with_response
255.911	4.999	self_relevance_with_response
261.338	4.999	self_relevance_with_response
266.652	4.999	self_relevance_with_response
272.266	4.999	self_relevance_with_response
277.878	5.006	instructions
283.395	4.999	other_relevance_with_response
289.014	4.999	other_relevance_with_response
294.417	4.999	other_relevance_with_response
299.869	4.999	other_relevance_with_response
305.286	4.999	other_relevance_with_response
310.921	4.999	other_relevance_with_response
327.919	5.006	instructions
333.515	4.999	old_self_hit
339.04	4.999	new_fa
344.585	4.999	new_fa
349.966	4.999	old_other_hit
355.437	4.999	old_self_hit
360.81	4.999	new_fa
366.451	4.999	old_self_hit
372.139	4.999	new_fa
377.677	4.999	new_cr
383.292	4.999	old_other_hit
388.978	4.999	new_fa
394.602	5.0	old_self_hit
400.043	5.0	old_other_miss
405.588	5.0	old_other_hit
411.221	5.0	new_fa
416.55	5.0	new_fa
421.906	5.0	new_fa
427.425	5.0	old_other_hit
432.867	5.0	old_other_hit
438.282	5.0	new_fa
443.751	5.0	old_self_hit
449.335	5.0	new_fa
454.994	5.0	new_fa
460.382	5.0	old_self_hit
476.999	5.006	instructions
482.503	5.0	other_relevance_with_response
487.834	5.0	other_relevance_with_response
493.201	5.0	other_relevance_with_response
498.618	5.0	other_relevance_with_response
504.035	5.0	other_relevance_with_response
509.618	4.999	other_relevance_with_response
515.104	5.006	instructions
520.501	5.0	self_relevance_with_response
525.894	4.999	self_relevance_with_response
531.355	4.999	self_relevance_with_response
536.941	4.999	self_relevance_with_response
542.285	4.999	self_relevance_with_response
547.747	4.999	self_relevance_with_response
565.435	5.006	instructions
570.949	4.999	new_fa
576.56	4.999	new_fa
581.983	4.999	old_self_hit
587.524	4.999	new_fa
593.102	4.999	old_other_miss
598.739	4.999	old_self_hit
604.248	4.999	new_fa
609.745	4.999	old_other_hit
615.183	4.999	old_other_miss
620.807	4.999	old_self_hit
626.339	4.999	new_fa
631.926	4.999	old_self_hit
637.373	4.999	new_fa
642.732	4.999	new_fa
648.214	4.999	old_other_hit
653.544	4.999	old_self_hit
659.091	4.999	new_fa
664.441	4.999	old_other_hit
669.904	4.999	old_other_hit
675.341	4.999	new_fa
681.038	4.999	old_self_hit
686.417	4.999	new_cr
691.8	4.999	new_fa
697.383	4.999	new_fa
