onset	duration	trial_type
3.007	2.002	we_all_reference
9.014	2.002	we_all_time_cue
15.021	2.002	we_after_close_event
17.024	3.004	we_all_event_response
20.029	2.002	we_before_close_event
22.032	3.005	we_all_event_response
25.038	2.002	we_before_close_event
27.041	3.005	we_all_event_response
30.047	2.002	we_after_close_event
32.05	3.004	we_all_event_response
42.067	2.002	we_all_reference
48.073	2.002	we_all_time_cue
54.08	2.002	we_before_far_event
56.082	3.006	we_all_event_response
59.089	2.003	we_after_far_event
61.093	3.004	we_all_event_response
64.098	2.002	we_before_far_event
66.101	3.005	we_all_event_response
69.107	2.003	we_after_far_event
71.111	3.004	we_all_event_response
81.127	2.002	we_all_reference
87.133	2.002	we_all_space_cue
93.14	2.002	we_westside_far_event
95.143	3.005	we_all_event_response
98.149	2.002	we_eastside_far_event
100.151	3.005	we_all_event_response
103.157	2.002	we_eastside_far_event
105.16	3.005	we_all_event_response
108.166	2.002	we_westside_far_event
110.169	3.005	we_all_event_response
120.186	2.002	we_all_reference
126.192	2.002	we_all_space_cue
132.2	2.001	we_eastside_close_event
134.202	3.005	we_all_event_response
137.208	2.001	we_eastside_close_event
139.21	3.005	we_all_event_response
142.216	2.003	we_westside_close_event
144.22	3.005	we_all_event_response
147.225	2.004	we_westside_close_event
149.23	3.003	we_all_event_response
159.245	2.002	we_all_reference
165.251	2.003	we_all_space_cue
171.258	2.002	we_westside_close_event
173.261	3.004	we_all_event_response
176.266	2.003	we_westside_close_event
178.27	3.004	we_all_event_response
181.275	2.001	we_eastside_close_event
183.277	3.006	we_all_event_response
186.284	2.004	we_eastside_close_event
188.289	3.004	we_all_event_response
198.305	2.002	we_all_reference
204.312	2.002	we_all_space_cue
210.318	2.003	we_westside_far_event
212.321	3.006	we_all_event_response
215.328	2.003	we_eastside_far_event
217.332	3.004	we_all_event_response
220.337	2.002	we_westside_far_event
222.34	3.004	we_all_event_response
225.345	2.003	we_eastside_far_event
227.349	3.004	we_all_event_response
237.364	2.002	we_all_reference
243.37	2.002	we_all_time_cue
249.376	2.004	we_after_close_event
251.381	3.003	we_all_event_response
254.385	2.003	we_before_close_event
256.388	3.006	we_all_event_response
259.395	2.003	we_before_close_event
261.399	3.003	we_all_event_response
264.403	2.002	we_after_close_event
266.406	3.005	we_all_event_response
276.424	2.002	we_all_reference
282.43	2.002	we_all_space_cue
288.437	2.002	we_eastside_far_event
290.439	3.007	we_all_event_response
293.447	2.003	we_westside_far_event
295.451	3.004	we_all_event_response
298.456	2.002	we_westside_far_event
300.459	3.005	we_all_event_response
303.465	2.003	we_eastside_far_event
305.469	3.004	we_all_event_response
315.486	2.002	we_all_reference
321.492	2.002	we_all_time_cue
327.499	2.002	we_before_far_event
329.502	3.005	we_all_event_response
332.508	2.004	we_after_far_event
334.513	3.003	we_all_event_response
337.517	2.002	we_after_far_event
339.52	3.005	we_all_event_response
342.526	2.002	we_before_far_event
344.529	3.004	we_all_event_response
354.546	2.002	we_all_reference
360.552	2.002	we_all_space_cue
366.558	2.002	we_eastside_close_event
368.561	3.004	we_all_event_response
371.566	2.002	we_westside_close_event
373.569	3.005	we_all_event_response
376.575	2.002	we_eastside_close_event
378.577	3.006	we_all_event_response
381.584	2.002	we_westside_close_event
383.587	3.004	we_all_event_response
393.604	2.002	we_all_reference
399.61	2.002	we_all_space_cue
405.617	2.002	we_eastside_far_event
407.62	3.005	we_all_event_response
410.626	2.004	we_westside_far_event
412.631	3.004	we_all_event_response
415.635	2.002	we_westside_far_event
417.638	3.004	we_all_event_response
420.644	2.002	we_eastside_far_event
422.647	3.005	we_all_event_response
432.664	2.002	we_all_reference
438.671	2.002	we_all_space_cue
444.677	2.002	we_eastside_close_event
446.68	3.004	we_all_event_response
449.686	2.001	we_eastside_close_event
451.688	3.005	we_all_event_response
454.694	2.003	we_westside_close_event
456.698	3.004	we_all_event_response
459.703	2.001	we_westside_close_event
461.705	3.005	we_all_event_response
471.721	2.002	we_all_reference
477.727	2.002	we_all_time_cue
483.734	2.002	we_after_far_event
485.737	3.005	we_all_event_response
488.743	2.002	we_before_far_event
490.746	3.005	we_all_event_response
493.752	2.002	we_before_far_event
495.755	3.004	we_all_event_response
498.761	2.001	we_after_far_event
