onset	duration	trial_type
0.55	0.15	memorization_num_4
1.701	1.7	response_num_4
7.786	0.15	memorization_num_3
8.937	1.7	response_num_3
15.005	0.15	memorization_num_2
16.155	1.701	response_num_2
22.224	0.15	memorization_num_2
23.374	1.701	response_num_2
29.443	0.15	memorization_num_5
30.593	1.701	response_num_5
36.662	0.15	memorization_num_5
37.812	1.701	response_num_5
43.881	0.149	memorization_num_5
45.031	1.7	response_num_5
51.099	0.15	memorization_num_6
52.25	1.7	response_num_6
58.318	0.15	memorization_num_2
59.469	1.7	response_num_2
65.537	0.15	memorization_num_3
66.688	1.7	response_num_3
72.739	0.15	memorization_num_4
73.89	1.7	response_num_4
79.975	0.15	memorization_num_6
81.125	1.701	response_num_6
87.194	0.15	memorization_num_1
88.344	1.701	response_num_1
94.413	0.15	memorization_num_5
95.563	1.701	response_num_5
101.648	0.15	memorization_num_4
102.782	1.7	response_num_4
108.85	0.15	memorization_num_2
110.001	1.7	response_num_2
116.086	0.15	memorization_num_4
117.236	1.701	response_num_4
123.305	0.15	memorization_num_2
124.455	1.701	response_num_2
130.524	0.15	memorization_num_4
131.674	1.701	response_num_4
137.743	0.15	memorization_num_3
138.893	1.7	response_num_3
144.978	0.15	memorization_num_4
146.128	1.684	response_num_4
152.18	0.15	memorization_num_1
153.331	1.7	response_num_1
159.416	0.15	memorization_num_4
160.566	1.701	response_num_4
166.635	0.15	memorization_num_5
167.785	1.701	response_num_5
173.853	0.15	memorization_num_1
175.004	1.7	response_num_1
181.072	0.151	memorization_num_3
182.223	1.7	response_num_3
188.291	0.15	memorization_num_2
189.442	1.7	response_num_2
195.527	0.15	memorization_num_1
196.677	1.7	response_num_1
202.746	0.15	memorization_num_5
203.896	1.701	response_num_5
209.965	0.149	memorization_num_5
211.115	1.7	response_num_5
217.183	0.15	memorization_num_6
218.334	1.7	response_num_6
224.402	0.15	memorization_num_5
225.553	1.7	response_num_5
231.621	0.15	memorization_num_2
232.771	1.701	response_num_2
238.84	0.15	memorization_num_5
239.99	1.701	response_num_5
246.076	0.15	memorization_num_1
247.226	1.701	response_num_1
253.294	0.15	memorization_num_5
254.445	1.7	response_num_5
260.513	0.15	memorization_num_6
261.664	1.7	response_num_6
267.732	0.15	memorization_num_2
268.883	1.7	response_num_2
274.951	0.15	memorization_num_3
276.101	1.701	response_num_3
282.153	0.15	memorization_num_2
283.304	1.7	response_num_2
289.372	0.15	memorization_num_5
290.522	1.701	response_num_5
296.574	0.151	memorization_num_5
297.725	1.7	response_num_5
303.793	0.15	memorization_num_6
304.944	1.7	response_num_6
310.996	0.15	memorization_num_6
312.146	1.7	response_num_6
318.214	0.15	memorization_num_4
319.365	1.7	response_num_4
325.433	0.15	memorization_num_3
326.584	1.7	response_num_3
332.652	0.15	memorization_num_5
333.802	1.701	response_num_5
339.888	0.15	memorization_num_1
341.038	1.684	response_num_1
347.09	0.15	memorization_num_3
348.24	1.701	response_num_3
354.292	0.15	memorization_num_1
355.442	1.701	response_num_1
361.494	0.15	memorization_num_6
362.644	1.701	response_num_6
368.713	0.15	memorization_num_2
369.864	1.7	response_num_2
375.932	0.15	memorization_num_4
377.082	1.701	response_num_4
383.134	0.15	memorization_num_3
384.284	1.718	response_num_3
390.369	0.168	memorization_num_4
391.537	1.7	response_num_4
397.588	0.15	memorization_num_1
398.739	1.7	response_num_1
404.791	0.15	memorization_num_4
405.941	1.701	response_num_4
412.01	0.15	memorization_num_6
413.16	1.701	response_num_6
419.212	0.15	memorization_num_3
420.362	1.701	response_num_3
426.414	0.15	memorization_num_6
427.564	1.701	response_num_6
433.633	0.15	memorization_num_3
434.783	1.701	response_num_3
440.852	0.15	memorization_num_1
442.002	1.7	response_num_1
448.054	0.15	memorization_num_6
449.204	1.701	response_num_6
455.273	0.15	memorization_num_5
456.423	1.701	response_num_5
462.492	0.149	memorization_num_4
463.642	1.701	response_num_4
469.727	0.151	memorization_num_1
470.878	1.7	response_num_1
476.946	0.15	memorization_num_4
478.097	1.7	response_num_4
484.165	0.15	memorization_num_4
485.316	1.7	response_num_4
491.384	0.15	memorization_num_4
492.534	1.701	response_num_4
498.603	0.15	memorization_num_4
499.753	1.701	response_num_4
505.822	0.149	memorization_num_3
506.972	1.701	response_num_3
513.041	0.15	memorization_num_1
514.191	1.7	response_num_1
