onset	duration	trial_type
2.005	2.007	voice_23
8.027	2.009	animal_9
14.052	2.009	nature_7
22.078	2.009	tools_15
28.104	2.008	animal_13
34.127	2.01	tools_47
42.155	2.011	speech_25
48.181	2.009	voice_13
54.206	2.008	tools_8
62.233	2.008	music_30
68.256	2.01	voice_9
74.28	2.009	animal_8
82.307	2.011	speech_18
88.335	2.035	silence
94.385	2.009	voice_32
102.411	2.01	tools_22
108.436	2.009	nature_33
114.461	2.009	speech_4
122.487	2.008	nature_4
128.51	2.008	music_7
134.534	2.011	speech_2
142.565	2.009	tools_10
148.588	2.009	animal_36
154.613	2.028	silence
162.66	2.009	nature_9
168.685	2.01	music_12
174.711	2.01	nature_39
182.736	2.01	speech_27
188.76	2.01	voice_15
194.785	2.01	animal_48
202.814	2.008	catch
208.838	2.01	nature_6
214.863	2.01	voice_24
222.892	2.008	speech_8
228.916	2.009	music_20
234.942	2.01	voice_11
242.969	2.011	animal_16
248.995	2.01	voice_16
255.02	2.011	speech_35
263.05	2.01	music_28
269.076	2.012	nature_41
275.103	2.009	catch
283.131	2.008	music_33
289.156	2.009	tools_34
295.182	2.011	music_32
303.211	2.009	nature_24
309.236	2.009	music_35
315.259	2.008	animal_23
323.284	2.009	nature_3
329.308	2.009	tools_37
335.332	2.007	catch
343.358	2.008	speech_21
349.381	2.009	voice_7
355.404	2.01	speech_22
363.433	2.01	music_23
369.459	2.008	catch
375.482	2.01	speech_12
383.511	2.009	catch
389.536	2.01	nature_19
395.561	2.009	voice_36
403.587	2.011	animal_34
409.613	2.008	music_39
415.636	2.008	tools_24
423.663	2.026	silence
429.703	2.012	speech_38
435.73	2.009	nature_18
443.757	2.009	animal_10
449.782	2.01	nature_12
455.808	2.009	animal_14
463.834	2.01	tools_29
469.86	2.008	music_8
475.883	2.024	silence
483.927	2.01	tools_48
489.952	2.012	voice_37
495.979	2.031	silence
504.028	2.01	music_3
510.052	2.01	voice_31
516.077	2.009	animal_7
524.103	2.01	tools_39
530.127	2.009	speech_29
536.152	2.008	animal_27
544.178	2.009	tools_19
546.197	4.006	fixation
