onset	duration	trial_type
3.000	2.000	sn_all_reference
9.000	2.000	sn_all_space_cue
15.000	2.000	sn_southside_far_event
17.000	3.000	sn_all_event_response
20.000	2.000	sn_southside_far_event
22.000	3.000	sn_all_event_response
25.000	2.000	sn_northside_far_event
27.000	3.000	sn_all_event_response
30.000	2.000	sn_northside_far_event
32.000	3.000	sn_all_event_response
42.000	2.000	sn_all_reference
48.000	2.000	sn_all_time_cue
54.000	2.000	sn_after_close_event
56.000	3.000	sn_all_event_response
59.000	2.000	sn_after_close_event
61.000	3.000	sn_all_event_response
64.000	2.000	sn_before_close_event
66.000	3.000	sn_all_event_response
69.000	2.000	sn_before_close_event
71.000	3.000	sn_all_event_response
81.000	2.000	sn_all_reference
87.000	2.000	sn_all_space_cue
93.000	2.000	sn_northside_close_event
95.000	3.000	sn_all_event_response
98.000	2.000	sn_southside_close_event
100.000	3.000	sn_all_event_response
103.000	2.000	sn_northside_close_event
105.000	3.000	sn_all_event_response
108.000	2.000	sn_southside_close_event
110.000	3.000	sn_all_event_response
120.000	2.000	sn_all_reference
126.000	2.000	sn_all_time_cue
132.000	2.000	sn_after_far_event
134.000	3.000	sn_all_event_response
137.000	2.000	sn_before_far_event
139.000	3.000	sn_all_event_response
142.000	2.000	sn_before_far_event
144.000	3.000	sn_all_event_response
147.000	2.000	sn_after_far_event
149.000	3.000	sn_all_event_response
159.000	2.000	sn_all_reference
165.000	2.000	sn_all_space_cue
171.000	2.000	sn_southside_close_event
173.000	3.000	sn_all_event_response
176.000	2.000	sn_northside_close_event
178.000	3.000	sn_all_event_response
181.000	2.000	sn_northside_close_event
183.000	3.000	sn_all_event_response
186.000	2.000	sn_southside_close_event
188.000	3.000	sn_all_event_response
198.000	2.000	sn_all_reference
204.000	2.000	sn_all_space_cue
210.000	2.000	sn_northside_close_event
212.000	3.000	sn_all_event_response
215.000	2.000	sn_southside_close_event
217.000	3.000	sn_all_event_response
220.000	2.000	sn_northside_close_event
222.000	3.000	sn_all_event_response
225.000	2.000	sn_southside_close_event
227.000	3.000	sn_all_event_response
237.000	2.000	sn_all_reference
243.000	2.000	sn_all_time_cue
249.000	2.000	sn_after_close_event
251.000	3.000	sn_all_event_response
254.000	2.000	sn_before_close_event
256.000	3.000	sn_all_event_response
259.000	2.000	sn_after_close_event
261.000	3.000	sn_all_event_response
264.000	2.000	sn_before_close_event
266.000	3.000	sn_all_event_response
276.000	2.000	sn_all_reference
282.000	2.000	sn_all_space_cue
288.000	2.000	sn_southside_far_event
290.000	3.000	sn_all_event_response
293.000	2.000	sn_northside_far_event
295.000	3.000	sn_all_event_response
298.000	2.000	sn_northside_far_event
300.000	3.000	sn_all_event_response
303.000	2.000	sn_southside_far_event
305.000	3.000	sn_all_event_response
315.000	2.000	sn_all_reference
321.000	2.000	sn_all_space_cue
327.000	2.000	sn_northside_close_event
330.000	3.000	sn_all_event_response
333.000	2.000	sn_southside_close_event
335.000	3.000	sn_all_event_response
338.000	2.000	sn_southside_close_event
340.000	3.000	sn_all_event_response
343.000	2.000	sn_northside_close_event
345.000	3.000	sn_all_event_response
355.000	2.000	sn_all_reference
361.000	2.000	sn_all_time_cue
367.000	2.000	sn_after_far_event
369.000	3.000	sn_all_event_response
372.000	2.000	sn_before_far_event
374.000	3.000	sn_all_event_response
377.000	2.000	sn_before_far_event
379.000	3.000	sn_all_event_response
382.000	2.000	sn_after_far_event
384.000	3.000	sn_all_event_response
394.000	2.000	sn_all_reference
400.000	2.000	sn_all_time_cue
406.000	2.000	sn_before_far_event
408.000	3.000	sn_all_event_response
411.000	2.000	sn_after_far_event
413.000	3.000	sn_all_event_response
416.000	2.000	sn_after_far_event
418.000	3.000	sn_all_event_response
421.000	2.000	sn_before_far_event
423.000	3.000	sn_all_event_response
433.000	2.000	sn_all_reference
439.000	2.000	sn_all_space_cue
445.000	2.000	sn_northside_far_event
447.000	3.000	sn_all_event_response
450.000	2.000	sn_southside_far_event
